"","Low","Medium","High","Very High"
"Ethnicity","%","%","%","%"
"All","3.71","12.14","48.16","36.00"
"Bangladeshi","?","16.71","51.14","29.75"
"Chinese","?","15.64","54.71","27.42"
"Indian","2.28","12.22","50.85","34.65"
"Pakistani","4.01","15.59","43.53","36.87"
"Asian other","?","13.79","47.86","36.03"
"Black","4.56","16.19","42.91","36.34"
"Mixed","6.23","14.66","46.06","33.06"
"White","3.71","14.19","48.32","36.16"
"White Gypsy / Traveller","?","?","?","?"
"Arab","?","13.98","41.46","41.26"
"Other","3.23","14.19","49.72","32.86"
