"Ethnicity","Mode of transport","%","Trips"
"All","Bicycle","2","17"
"All","Bus in London","2","18"
"All","Car / van driver","40","388"
"All","Car / van passenger","21","204"
"All","London Underground","1","10"
"All","Motorcycle","0","3"
"All","Non-local bus","0","1"
"All","Other local bus","4","38"
"All","Other private transport","1","7"
"All","Other public transport","0","3"
"All","Surface Rail","2","21"
"All","Taxi / minicab","1","10"
"All","Walk","25","239"
"Asian","Bicycle","1","8"
"Asian","Bus in London","6","45"
"Asian","Car / van driver","31","249"
"Asian","Car / van passenger","21","171"
"Asian","London Underground","2","19"
"Asian","Motorcycle","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","3","22"
"Asian","Other private transport","0","3"
"Asian","Other public transport","1","5"
"Asian","Surface Rail","3","26"
"Asian","Taxi / minicab","1","8"
"Asian","Walk","30","244"
"Black","Bicycle","?","?"
"Black","Bus in London","13","100"
"Black","Car / van driver","26","198"
"Black","Car / van passenger","16","122"
"Black","London Underground","2","18"
"Black","Motorcycle","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","6","47"
"Black","Other private transport","?","?"
"Black","Other public transport","1","7"
"Black","Surface Rail","5","39"
"Black","Taxi / minicab","1","10"
"Black","Walk","29","222"
"Mixed","Bicycle","?","?"
"Mixed","Bus in London","4","34"
"Mixed","Car / van driver","19","173"
"Mixed","Car / van passenger","27","248"
"Mixed","London Underground","?","?"
"Mixed","Motorcycle","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","6","51"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","3","30"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","35","313"
"White","Bicycle","2","18"
"White","Bus in London","1","11"
"White","Car / van driver","42","413"
"White","Car / van passenger","21","211"
"White","London Underground","1","9"
"White","Motorcycle","0","3"
"White","Non-local bus","0","1"
"White","Other local bus","4","38"
"White","Other private transport","1","7"
"White","Other public transport","0","3"
"White","Surface Rail","2","20"
"White","Taxi / minicab","1","10"
"White","Walk","24","238"
"Other","Bicycle","?","?"
"Other","Bus in London","9","70"
"Other","Car / van driver","28","229"
"Other","Car / van passenger","18","148"
"Other","London Underground","?","?"
"Other","Motorcycle","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","4","35"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","3","24"
"Other","Taxi / minicab","?","?"
"Other","Walk","31","249"
