"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","1065","Trips per person per year","1693912","1551557","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","17","Trips per person per year","26786","24235","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","18","Trips per person per year","28535","22997","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","430","Trips per person per year","684686","634992","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","232","Trips per person per year","369272","350653","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","Trips per person per year","14778","10626","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","5905","5136","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","1291","1264","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","45","Trips per person per year","72298","66146","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","Trips per person per year","12716","12303","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","4438","3769","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","16","Trips per person per year","24842","21134","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","11","Trips per person per year","17640","15837","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","271","Trips per person per year","430726","382465","82950","81145",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","876","Trips per person per year","71078","58923","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","5","Trips per person per year","372","305","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","38","Trips per person per year","3077","2459","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","264","Trips per person per year","21410","18178","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","191","Trips per person per year","15524","13655","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","24","Trips per person per year","1920","1366","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","46","Trips per person per year","3734","2712","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","6","Trips per person per year","473","365","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","15","Trips per person per year","1236","930","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","Trips per person per year","568","451","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","274","Trips per person per year","22228","18128","4229","3711",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","823","Trips per person per year","32539","27387","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","147","Trips per person per year","5798","4746","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","220","Trips per person per year","8691","7361","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","122","Trips per person per year","4843","4381","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","23","Trips per person per year","904","709","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","55","Trips per person per year","2171","1755","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","Trips per person per year","1267","1001","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","9","Trips per person per year","356","324","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","199","Trips per person per year","7886","6591","2063","1854",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","938","Trips per person per year","20989","18120","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","68","Trips per person per year","1525","1342","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","191","Trips per person per year","4282","3575","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","263","Trips per person per year","5881","5368","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","20","Trips per person per year","452","344","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","66","Trips per person per year","1474","1207","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","18","Trips per person per year","394","317","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","276","Trips per person per year","6165","5265","1166","1069",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","840","Trips per person per year","15264","12494","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","86","Trips per person per year","1567","1303","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","213","Trips per person per year","3863","3298","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","155","Trips per person per year","2825","2461","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","41","Trips per person per year","751","498","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","44","Trips per person per year","792","670","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","249","Trips per person per year","4520","3544","948","829",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","All modes","1087","Trips per person per year","1553530","1434196","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Bicycle","18","Trips per person per year","25677","23374","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","Trips per person per year","16538","13128","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Car / van driver","452","Trips per person per year","646277","602434","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","238","Trips per person per year","340135","324729","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","10741","7703","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","5695","4993","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","1156","1145","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Other local bus","45","Trips per person per year","64088","59774","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","Trips per person per year","11854","11582","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Other public transport","3","Trips per person per year","3754","3255","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Surface Rail","15","Trips per person per year","21607","18642","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","11","Trips per person per year","16261","14658","74508","73649",""
"Average trips per year by mode of transport","2002/06","5-year rolling average","White","ONS 2011 5+1","Walk","273","Trips per person per year","389748","348779","74508","73649",""
"Average trips per year by mode of transport","2003/07","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","1049","Trips per person per year","1712595","1575251","85083","83634",""
"Average trips per year by mode of transport","2003/07","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","26398","23988","85083","83634",""
