"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Purpose of trip","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips"
"Business","3","31","2","18","3","27","2","20","3","32","3","27"
"Commuting","15","145","19","155","18","140","12","112","15","145","18","149"
"Education / escort education","12","119","21","166","22","174","22","198","11","111","22","176"
"Leisure","26","247","18","143","16","128","25","228","27","263","17","138"
"Other escort","9","86","9","70","9","68","11","101","9","88","10","79"
"Other including just walk","5","53","3","25","2","16","5","49","6","57","4","31"
"Personal business","10","93","11","89","14","107","8","74","9","93","8","63"
"Shopping","19","184","17","137","15","117","13","120","20","192","18","145"
