"Ethnicity","Purpose of trip","%","Miles"
"All","Business","9","597"
"All","Commuting","20","1,296"
"All","Education / escort education","5","333"
"All","Leisure","40","2,619"
"All","Other escort","7","441"
"All","Other including just walk","1","51"
"All","Personal business","7","477"
"All","Shopping","11","739"
"Asian","Business","6","280"
"Asian","Commuting","29","1,341"
"Asian","Education / escort education","8","382"
"Asian","Leisure","33","1,500"
"Asian","Other escort","6","263"
"Asian","Other including just walk","1","27"
"Asian","Personal business","8","351"
"Asian","Shopping","10","444"
"Black","Business","8","317"
"Black","Commuting","28","1,154"
"Black","Education / escort education","12","483"
"Black","Leisure","27","1,117"
"Black","Other escort","6","271"
"Black","Other including just walk","0","15"
"Black","Personal business","12","487"
"Black","Shopping","8","333"
"Mixed","Business","6","289"
"Mixed","Commuting","19","958"
"Mixed","Education / escort education","10","512"
"Mixed","Leisure","43","2,173"
"Mixed","Other escort","9","452"
"Mixed","Other including just walk","1","36"
"Mixed","Personal business","7","350"
"Mixed","Shopping","6","317"
"White","Business","9","646"
"White","Commuting","19","1,306"
"White","Education / escort education","5","317"
"White","Leisure","41","2,803"
"White","Other escort","7","465"
"White","Other including just walk","1","55"
"White","Personal business","7","491"
"White","Shopping","12","792"
"Other","Business","6","276"
"Other","Commuting","27","1,160"
"Other","Education / escort education","10","451"
"Other","Leisure","28","1,219"
"Other","Other escort","8","330"
"Other","Other including just walk","1","26"
"Other","Personal business","8","365"
"Other","Shopping","11","480"
