"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Purpose of trip","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles"
"Business","9","597","6","280","8","317","6","289","9","646","6","276"
"Commuting","20","1,296","29","1,341","28","1,154","19","958","19","1,306","27","1,160"
"Education / escort education","5","333","8","382","12","483","10","512","5","317","10","451"
"Leisure","40","2,619","33","1,500","27","1,117","43","2,173","41","2,803","28","1,219"
"Other escort","7","441","6","263","6","271","9","452","7","465","8","330"
"Other including just walk","1","51","1","27","0","15","1","36","1","55","1","26"
"Personal business","7","477","8","351","12","487","7","350","7","491","8","365"
"Shopping","11","739","10","444","8","333","6","317","12","792","11","480"
