"","White British","","","Other than White British","",""
"Age group","%","Private renters ('000s)","All households ('000s)","%","Private renters ('000s)","All households ('000s)"
"16 - 24","63","363","580","79","160","202"
"25 - 34","37","859","2,297","61","618","1,009"
"35 - 44","22","614","2,773","42","505","1,218"
"45 - 54","12","462","3,705","31","260","844"
"55 - 64","8","283","3,373","17","84","499"
"65 or over","6","364","6,136","6","33","526"
