"Ethnicity","Socio-economic group","%","Private renters ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","14","1,092","7,684"
"White British","Intermediate occupations","17","668","3,958"
"White British","Routine and manual occupations","17","1,012","6,010"
"Other than White British","Higher managerial, administrative and professional occupations","37","598","1,629"
"Other than White British","Intermediate occupations","39","313","792"
"Other than White British","Routine and manual occupations","41","583","1,427"
