"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","39","313","792","883"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","41","583","1427","1736"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All NS-SEC","All","All","39","1493","3848","4267"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","18","1690","9313","9675"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","21","980","4751","5256"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","21","1595","7436","9451"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All NS-SEC","All","All","20","4265","21500","24382"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","63","363","580","668"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","37","859","2297","2627"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","22","614","2773","3175"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","12","462","3705","4075"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","8","283","3373","3906"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 65 or over","All","All","All","6","364","6136","7105"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All Age group","All","All","All","16","2945","18863","21556"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","79","160","202","201"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","61","618","1009","1092"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","42","505","1218","1413"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","31","260","844","929"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","17","84","499","556"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","6","33","526","598"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All Age group","All","All","All","39","1661","4297","4789"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 16 - 24","All","All","All","67","524","782","869"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 25 - 34","All","All","All","45","1477","3306","3719"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 35 - 44","All","All","All","28","1120","3990","4588"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 45 - 54","All","All","All","16","722","4549","5004"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 55 - 64","All","All","All","9","367","3872","4462"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England"," 65 or over","All","All","All","6","397","6662","7703"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All Age group","All","All","All","20","4606","23160","26345"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North East","15","167","1090","1510"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North West","16","444","2757","3380"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","17","342","1992","2519"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East Midlands","14","237","1688","2021"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","West Midlands","14","273","1978","2194"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East","14","303","2186","2493"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","London","20","331","1660","1507"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South East","15","477","3244","3553"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South West","16","369","2269","2379"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","All Region","16","2945","18863","21556"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North East","31","21","68","88"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North West","36","137","384","470"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","36","108","299","389"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","41","117","289","343"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","32","131","415","488"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East","40","148","367","447"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","London","38","683","1778","1761"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South East","44","231","522","611"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South West","48","85","175","192"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","All Region","39","1661","4297","4789"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North East","16","188","1159","1598"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North West","19","581","3141","3850"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","20","450","2290","2908"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East Midlands","18","354","1976","2364"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","West Midlands","17","404","2393","2682"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East","18","451","2554","2940"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","London","30","1014","3437","3268"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South East","19","709","3766","4164"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South West","19","454","2444","2571"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","All Region","20","4606","23160","26345"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","Up to £99","All","27","48","179","238"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£100 to £199","All","15","220","1501","2025"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£200 to £299","All","18","355","2008","2650"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£300 to £399","All","18","366","2028","2518"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£400 to £499","All","19","329","1767","2095"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£500 to £599","All","19","315","1668","1897"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£600 to £699","All","17","262","1576","1780"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£700 to £799","All","16","209","1282","1397"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£800 to £899","All","16","178","1148","1191"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£900 to £999","All","15","136","936","995"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£1000 and above","All","11","512","4636","4614"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All Income","All","16","2929","18731","21400"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","26","11","40","51"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","28","86","311","383"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","36","155","430","520"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","38","170","447","553"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","43","154","362","441"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","46","200","432","496"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","44","164","373","425"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","43","120","279","321"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","49","136","281","277"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","32","61","190","214"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","35","392","1117","1070"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All Income","All","39","1649","4264","4751"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","Up to £99","All","27","59","219","289"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£100 to £199","All","17","306","1812","2408"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£200 to £299","All","21","510","2439","3170"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£300 to £399","All","22","536","2475","3071"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£400 to £499","All","23","483","2130","2536"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£500 to £599","All","25","515","2100","2393"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£600 to £699","All","22","426","1949","2205"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£700 to £799","All","21","328","1561","1718"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£800 to £899","All","22","315","1430","1468"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£900 to £999","All","18","197","1127","1209"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£1000 and above","All","16","904","5754","5684"
"Percentage of households renting from a private landlord","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All Income","All","20","4579","22994","26151"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","20","37","183","216"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","59","717","1217","1275"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","34","31","93","98"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","31","27","90","100"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","17","9","57","64"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","22","11","48","50"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","23","120","524","519"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","32","116","361","376"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","21","29","135","156"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","53","58","110","117"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","47","95","204","199"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","33","132","406","515"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","18","54","298","332"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","24","7","29","36"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","39","29","74","83"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","46","119","258","271"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","14","1112","7758","8368"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","16","623","3850","4411"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","18","1082","6111","7903"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All NS-SEC","All","All","16","2817","17719","20682"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","38","586","1531","1511"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","38","297","775","812"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","41","567","1383","1625"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All NS-SEC","All","All","39","1449","3689","3948"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","18","1697","9289","9879"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","20","920","4625","5223"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","22","1649","7494","9528"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All NS-SEC","All","All","20","4266","21408","24630"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","62","344","555","666"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","38","901","2359","2644"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","23","626","2786","3293"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","13","467","3724","4205"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","9","315","3380","4092"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","6","358","6012","7097"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All Age group","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","75","147","197","185"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","64","628","976","996"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39","461","1174","1309"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","28","232","829","895"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","20","91","444","494"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","7","34","472","540"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All Age group","All","All","All","39","1593","4093","4419"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","65","491","752","851"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","46","1529","3336","3640"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","27","1087","3960","4602"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","15","700","4554","5100"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","11","406","3824","4586"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","6","392","6485","7637"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All Age group","All","All","All","20","4604","22910","26416"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","16","169","1086","1470"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","17","460","2748","3381"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","18","366","1986","2431"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","15","246","1695","2091"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","15","295","1968","2265"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","15","326","2197","2575"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","19","324","1706","1581"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","15","466","3215","3729"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","16","359","2215","2474"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All Region","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","29","18","61","77"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","33","115","352","430"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","36","103","283","339"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","39","100","257","305"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","31","122","394","444"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","40","132","331","389"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","39","671","1713","1646"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","47","241","516","593"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","49","91","187","196"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All Region","39","1593","4093","4419"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","16","186","1147","1547"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","19","575","3100","3811"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","21","469","2269","2770"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","18","346","1952","2396"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","18","417","2362","2709"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","18","458","2528","2964"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","29","995","3419","3227"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","19","708","3731","4322"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","19","450","2403","2670"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All Region","20","4604","22910","26416"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","31","61","195","242"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","17","254","1524","2059"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","18","370","2021","2698"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","18","379","2154","2650"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£400 to £499","All","21","365","1768","2139"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£500 to £599","All","19","305","1619","1866"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£600 to £699","All","16","253","1559","1784"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£700 to £799","All","15","194","1289","1453"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£800 to £899","All","14","161","1113","1200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£900 to £999","All","15","134","891","1001"
