"Ethnicity","Average score"
"All","76.0"
"Asian",""
"Bangladeshi","69.2"
"Chinese","76.0"
"Indian","74.8"
"Pakistani","72.6"
"Asian other","77.1"
"Black",""
"Black African","76.9"
"Black Caribbean","75.0"
"Black other","74.1"
"Mixed",""
"Mixed White/Asian","76.3"
"Mixed White/Black African","76.4"
"Mixed White/Black Caribbean","72.9"
"Mixed other","77.2"
"White",""
"White British","76.1"
"White Irish","78.6"
"White Gypsy/Traveller","73.2"
"White other","76.5"
"Other",""
"Arab","77.5"
"Any other","70.8"
