"","2016-17","","2017-18","","2018-19",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","73","10,235","73","10,191","72","10,607"
"Asian","67","1,108","67","923","66","908"
"Black","68","360","62","352","65","348"
"Mixed","70","463","68","508","66","497"
"White","74","8,009","74","8,089","73","8,548"
"Other","67","162","54","124","51","124"
