"gender","Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"Boys","All","69","22","103","-0.5"
"Boys","Asian","70","24","104","0.0"
"Boys","Bangladeshi","70","24","104","0.5"
"Boys","Indian","77","31","105","0.2"
"Boys","Pakistani","64","18","102","-0.3"
"Boys","Asian other","72","25","104","0.2"
"Boys","Black","66","18","103","-0.5"
"Boys","Black African","69","20","103","-0.2"
"Boys","Black Caribbean","59","13","101","-1.5"
"Boys","Black other","64","16","102","-0.5"
"Boys","Chinese","80","38","107","1.0"
"Boys","Mixed","70","24","104","-0.4"
"Boys","Mixed White/Asian","76","30","105","0.1"
"Boys","Mixed White/Black African","69","22","103","-0.4"
"Boys","Mixed White/Black Caribbean","64","17","102","-1.1"
"Boys","Mixed other","71","25","104","-0.1"
"Boys","White","69","22","103","-0.7"
"Boys","White British","70","23","103","-0.8"
"Boys","White Irish","80","33","106","1.2"
"Boys","Gypsy/Roma","23","4","94","-1.6"
"Boys","Irish Traveller","34","7","97","-1.2"
"Boys","White other","64","20","103","0.6"
"Boys","Other","63","19","102","0.4"
"Boys","Unknown","53","17","102","-0.6"
"Girls","All","78","32","106","0.6"
"Girls","Asian","79","33","106","1.1"
"Girls","Bangladeshi","80","32","106","1.4"
"Girls","Indian","84","42","107","1.5"
"Girls","Pakistani","74","27","104","0.7"
"Girls","Asian other","80","34","106","1.2"
"Girls","Black","78","29","105","0.9"
"Girls","Black African","80","31","106","1.2"
"Girls","Black Caribbean","74","25","104","0.2"
"Girls","Black other","76","26","104","0.8"
"Girls","Chinese","85","48","108","2.0"
"Girls","Mixed","81","35","106","1.1"
"Girls","Mixed White/Asian","84","42","107","1.5"
"Girls","Mixed White/Black African","82","34","106","1.1"
"Girls","Mixed White/Black Caribbean","77","28","105","0.4"
"Girls","Mixed other","81","36","106","1.4"
"Girls","White","78","32","105","0.5"
"Girls","White British","79","32","106","0.3"
"Girls","White Irish","84","44","108","2.3"
"Girls","Gypsy/Roma","33","8","96","-0.6"
"Girls","Irish Traveller","44","11","99","-0.1"
"Girls","White other","74","30","105","1.9"
"Girls","Other","72","27","104","1.4"
"Girls","Unknown","63","26","104","0.9"
