"","All","","Female","","Male",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","25","185,732","26","103,379","24","82,007"
"Asian","31","7,275","36","3,794","27","3,470"
"Black","29","2,655","29","1,601","29","1,048"
"Chinese","26","975","26","596","26","379"
"Mixed","18","2,024","18","1,238","19","779"
"White British","24","155,056","25","86,126","23","68,765"
"White other","23","9,709","24","5,841","23","3,854"
"Other","30","1,327","31","769","29","556"
