"Ethnicity","Local authority","%"
"All","All England","71"
"All","Barking and Dagenham","70"
"All","Barnet","73"
"All","Barnsley","69"
"All","Bath and North East Somerset","73"
"All","Bedford Borough","68"
"All","Bexley","75"
"All","Birmingham","66"
"All","Blackburn with Darwen","66"
"All","Blackpool","67"
"All","Bolton","66"
"All","Bournemouth Christchurch and Poole","73"
"All","Bracknell Forest","76"
"All","Bradford","67"
"All","Brent","71"
"All","Brighton and Hove","71"
"All","Bristol City of","70"
"All","Bromley","77"
"All","Buckinghamshire","74"
"All","Bury","70"
"All","Calderdale","69"
"All","Cambridgeshire","70"
"All","Camden","72"
"All","Central Bedfordshire","72"
"All","Cheshire East","71"
"All","Cheshire West and Chester","71"
"All","City of London","85"
"All","Cornwall","69"
"All","Coventry","69"
"All","Croydon","73"
"All","Cumbria","70"
"All","Darlington","70"
"All","Derby","70"
"All","Derbyshire","69"
"All","Devon","72"
"All","Doncaster","71"
"All","Dorset","71"
"All","Dudley","65"
"All","Durham","71"
"All","Ealing","70"
"All","East Riding of Yorkshire","73"
"All","East Sussex","76"
"All","Enfield","69"
"All","Essex","73"
"All","Gateshead","72"
"All","Gloucestershire","71"
"All","Greenwich","78"
"All","Hackney","68"
"All","Halton","65"
"All","Hammersmith and Fulham","72"
"All","Hampshire","76"
"All","Haringey","74"
"All","Harrow","74"
"All","Hartlepool","71"
"All","Havering","71"
"All","Herefordshire","75"
"All","Hertfordshire","72"
"All","Hillingdon","74"
"All","Hounslow","72"
"All","Isle of Wight","70"
"All","Isles of Scilly","79"
"All","Islington","68"
"All","Kensington and Chelsea","68"
"All","Kent","73"
"All","Kingston Upon Hull City of","63"
"All","Kingston upon Thames","75"
"All","Kirklees","69"
"All","Knowsley","66"
"All","Lambeth","70"
"All","Lancashire","67"
"All","Leeds","66"
"All","Leicester","66"
"All","Leicestershire","71"
"All","Lewisham","76"
"All","Lincolnshire","69"
"All","Liverpool","64"
"All","Luton","67"
"All","Manchester","64"
"All","Medway","73"
"All","Merton","75"
"All","Middlesbrough","61"
"All","Milton Keynes","73"
"All","Newcastle upon Tyne","70"
"All","Newham","74"
"All","Norfolk","72"
"All","North East Lincolnshire","70"
"All","North Lincolnshire","70"
"All","North Somerset","74"
"All","North Tyneside","71"
"All","North Yorkshire","72"
"All","Northamptonshire","70"
"All","Northumberland","74"
"All","Nottingham","65"
"All","Nottinghamshire","69"
"All","Oldham","66"
"All","Oxfordshire","73"
"All","Peterborough","65"
"All","Plymouth","68"
"All","Portsmouth","69"
"All","Reading","67"
"All","Redbridge","75"
"All","Redcar and Cleveland","70"
"All","Richmond upon Thames","80"
"All","Rochdale","64"
"All","Rotherham","69"
"All","Rutland","78"
"All","Salford","66"
"All","Sandwell","65"
"All","Sefton","68"
"All","Sheffield","70"
"All","Shropshire","72"
"All","Slough","73"
"All","Solihull","70"
"All","Somerset","71"
"All","South Gloucestershire","76"
"All","South Tyneside","72"
"All","Southampton","70"
"All","Southend-on-Sea","73"
"All","Southwark","73"
"All","St. Helens","68"
"All","Staffordshire","73"
"All","Stockport","69"
"All","Stockton-on-Tees","73"
"All","Stoke-on-Trent","65"
"All","Suffolk","69"
"All","Sunderland","72"
"All","Surrey","78"
"All","Sutton","72"
"All","Swindon","70"
"All","Tameside","65"
