"Ethnicity","Local Authority","Girls","Boys"
"White","Plymouth","74","63"
"White","Portsmouth","77","63"
"White","Reading","73","64"
"White","Redbridge","76","65"
"White","Redcar and Cleveland","76","64"
"White","Richmond upon Thames","88","77"
"White","Rochdale","73","61"
"White","Rotherham","77","63"
"White","Rutland","82","75"
"White","Salford","77","62"
"White","Sandwell","73","57"
"White","Sefton","76","61"
"White","Sheffield","79","65"
"White","Shropshire","80","65"
"White","Slough","74","63"
"White","Solihull","76","67"
"White","Somerset","79","65"
"White","South Gloucestershire","83","71"
"White","South Tyneside","81","66"
"White","Southampton","79","63"
"White","Southend-on-Sea","80","69"
"White","Southwark","85","72"
"White","St. Helens","77","61"
"White","Staffordshire","81","67"
"White","Stockport","76","66"
"White","Stockton-on-Tees","81","68"
"White","Stoke-on-Trent","75","61"
"White","Suffolk","79","62"
"White","Sunderland","81","65"
"White","Surrey","85","72"
"White","Sutton","80","64"
"White","Swindon","75","65"
"White","Tameside","77","59"
"White","Telford and Wrekin","76","64"
"White","Thurrock","79","65"
"White","Torbay","78","64"
"White","Tower Hamlets","78","60"
"White","Trafford","84","72"
"White","Wakefield","79","63"
"White","Walsall","75","58"
"White","Waltham Forest","83","75"
"White","Wandsworth","86","77"
"White","Warrington","80","67"
"White","Warwickshire","79","64"
"White","West Berkshire","80","69"
"White","West Sussex","79","65"
"White","Westminster","80","72"
"White","Wigan","74","60"
"White","Wiltshire","79","66"
"White","Windsor and Maidenhead","79","74"
"White","Wirral","75","61"
"White","Wokingham","82","70"
"White","Wolverhampton","73","61"
"White","Worcestershire","78","66"
"White","York","81","70"
