"Free school meals","Ethnicity","%","Pupils"
"Free school meals","All","27.8","88,666"
"Free school meals","Asian","43.4","10,443"
"Free school meals","Bangladeshi","49.5","2,707"
"Free school meals","Indian","52.1","1,143"
"Free school meals","Pakistani","38.4","5,162"
"Free school meals","Asian other","42.9","1,431"
"Free school meals","Black","35.4","8,265"
"Free school meals","Black African","40.2","5,153"
"Free school meals","Black Caribbean","25.0","2,039"
"Free school meals","Black other","32.4","1,073"
"Free school meals","Chinese","72.9","140"
"Free school meals","Mixed","29.8","6,321"
"Free school meals","Mixed White/Asian","34.0","1,062"
"Free school meals","Mixed White/Black African","34.6","832"
"Free school meals","Mixed White/Black Caribbean","23.0","2,244"
"Free school meals","Mixed other","33.1","2,183"
"Free school meals","White","23.2","59,303"
"Free school meals","White British","22.7","55,375"
"Free school meals","White Irish","29.6","223"
"Free school meals","Gypsy/Roma","5.4","497"
"Free school meals","Irish Traveller","10.1","89"
"Free school meals","White other","33.8","3,119"
"Free school meals","Other","39.4","2,783"
"Free school meals","Unknown","26.5","1,411"
"No free school meals","All","54.0","473,328"
"No free school meals","Asian","61.3","50,580"
"No free school meals","Bangladeshi","60.0","7,665"
"No free school meals","Indian","71.8","14,986"
"No free school meals","Pakistani","50.3","19,113"
"No free school meals","Asian other","68.6","8,816"
"No free school meals","Black","49.5","24,670"
"No free school meals","Black African","54.1","16,146"
"No free school meals","Black Caribbean","38.5","5,339"
"No free school meals","Black other","44.8","3,185"
"No free school meals","Chinese","80.2","1,819"
"No free school meals","Mixed","55.8","23,160"
"No free school meals","Mixed White/Asian","66.0","5,592"
"No free school meals","Mixed White/Black African","54.8","2,874"
"No free school meals","Mixed White/Black Caribbean","43.2","5,784"
"No free school meals","Mixed other","57.9","8,910"
"No free school meals","White","53.4","357,201"
"No free school meals","White British","53.7","327,646"
"No free school meals","White Irish","65.0","1,425"
"No free school meals","Gypsy/Roma","9.6","857"
"No free school meals","Irish Traveller","32.4","71"
"No free school meals","White other","50.4","27,202"
"No free school meals","Other","54.5","7,739"
"No free school meals","Unknown","40.3","8,159"
