"","All","East Midlands","East of England","London","North East","North West","Scotland","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%"
"All","75","75","78","74","71","74","74","78","79","73","73","74"
"Asian","66","65","71","68","62","58","59","72","71","62","62","57"
"Indian","76","72","83","79","?","69","?","81","76","?","72","71"
"Pakistani, Bangladeshi","57","57","58","59","60","56","59","66","?","?","55","51"
"Asian Other","64","52","73","66","?","51","54","67","67","59","63","68"
"Black","67","64","83","66","58","68","56","72","72","56","64","70"
"Mixed","67","61","73","68","?","62","?","76","71","76","57","69"
"White","77","76","78","80","72","76","75","79","79","74","76","75"
"White British","76","76","78","78","72","76","75","79","79","74","76","75"
"White Other","82","81","83","83","73","81","78","81","86","80","81","82"
"Other","61","?","79","61","45","53","50","70","60","62","58","53"
