"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE","All","£4,897","£5,703"
"Average (mean) monthly basic pay per FTE","Asian","£4,760","£5,636"
"Average (mean) monthly basic pay per FTE","Black","£4,303","£5,142"
"Average (mean) monthly basic pay per FTE","Mixed","£4,387","£5,017"
"Average (mean) monthly basic pay per FTE","Other","£4,652","£5,564"
"Average (mean) monthly basic pay per FTE","Unknown","£4,401","£5,145"
"Average (mean) monthly basic pay per FTE","White","£5,104","£5,934"
"Average pay for every £1 paid to White staff","All","n/a","n/a"
"Average pay for every £1 paid to White staff","Asian","93p","95p"
"Average pay for every £1 paid to White staff","Black","84p","87p"
"Average pay for every £1 paid to White staff","Mixed","86p","85p"
"Average pay for every £1 paid to White staff","Other","91p","94p"
"Average pay for every £1 paid to White staff","Unknown","86p","87p"
"Average pay for every £1 paid to White staff","White","n/a","n/a"
