"Category","Ethnicity","%","Number"
"All","All","100.0","1,032"
"All","Asian","7.5","77"
"All","Black","4.7","49"
"All","Mixed","1.9","20"
"All","Other","0.4","4"
"All","White","85.5","882"
"Higher","All","100.0","42"
"Higher","Asian","4.8","2"
"Higher","Black","2.4","1"
"Higher","Mixed","0.0","0"
"Higher","Other","0.0","0"
"Higher","White","92.9","39"
"CBE","All","100.0","84"
"CBE","Asian","3.6","3"
"CBE","Black","3.6","3"
"CBE","Mixed","1.2","1"
"CBE","Other","0.0","0"
"CBE","White","91.7","77"
"OBE","All","100.0","224"
"OBE","Asian","9.4","21"
"OBE","Black","4.0","9"
"OBE","Mixed","1.8","4"
"OBE","Other","1.8","4"
"OBE","White","83.0","186"
"MBE","All","100.0","400"
"MBE","Asian","9.3","37"
"MBE","Black","7.3","29"
"MBE","Mixed","1.5","6"
"MBE","Other","0.0","0"
"MBE","White","82.0","328"
"BEM","All","100.0","282"
"BEM","Asian","5.0","14"
"BEM","Black","2.5","7"
"BEM","Mixed","3.2","9"
"BEM","Other","0.0","0"
"BEM","White","89.4","252"
