"Benefit","Ethnicity","%"
"Any income-related benefit","All","18"
"Any income-related benefit","Asian","16"
"Any income-related benefit","Bangladeshi","32"
"Any income-related benefit","Chinese","9"
"Any income-related benefit","Indian","9"
"Any income-related benefit","Pakistani","21"
"Any income-related benefit","Asian other","20"
"Any income-related benefit","Black","29"
"Any income-related benefit","Mixed","22"
"Any income-related benefit","White","17"
"Any income-related benefit","White British","18"
"Any income-related benefit","White other","12"
"Any income-related benefit","Other","21"
"Any non income-related benefit","All","51"
"Any non income-related benefit","Asian","42"
"Any non income-related benefit","Bangladeshi","49"
"Any non income-related benefit","Chinese","29"
"Any non income-related benefit","Indian","41"
"Any non income-related benefit","Pakistani","46"
"Any non income-related benefit","Asian other","40"
"Any non income-related benefit","Black","45"
"Any non income-related benefit","Mixed","39"
"Any non income-related benefit","White","52"
"Any non income-related benefit","White British","54"
"Any non income-related benefit","White other","35"
"Any non income-related benefit","Other","37"
"Any type of state support","All","55"
"Any type of state support","Asian","46"
"Any type of state support","Bangladeshi","54"
"Any type of state support","Chinese","33"
"Any type of state support","Indian","43"
"Any type of state support","Pakistani","52"
"Any type of state support","Asian other","47"
"Any type of state support","Black","53"
"Any type of state support","Mixed","45"
"Any type of state support","White","56"
"Any type of state support","White British","57"
"Any type of state support","White other","37"
"Any type of state support","Other","42"
"Any type of tax credits","All","9"
"Any type of tax credits","Asian","15"
"Any type of tax credits","Bangladeshi","28"
"Any type of tax credits","Chinese","6"
"Any type of tax credits","Indian","8"
"Any type of tax credits","Pakistani","23"
"Any type of tax credits","Asian other","16"
"Any type of tax credits","Black","17"
"Any type of tax credits","Mixed","15"
"Any type of tax credits","White","9"
"Any type of tax credits","White British","9"
"Any type of tax credits","White other","10"
"Any type of tax credits","Other","14"
