"","Child Tax Credit","Working Tax Credit"
"Ethnicity","%","%"
"All","8","4"
"Asian","14","9"
"Bangladeshi","24","15"
"Chinese","5","3"
"Indian","7","4"
"Pakistani","22","14"
"Asian other","14","9"
"Black","16","9"
"Mixed","13","5"
"White","7","4"
"White British","7","4"
"White other","9","5"
"Other","13","8"
