"","Employment and Support Allowance  ","Jobseeker's Allowance  "
"","Value","Value"
"All","4","2"
"Asian","2","2"
"Bangladeshi","3","2"
"Chinese","1","-"
"Indian","2","1"
"Pakistani","3","4"
"Asian other","3","2"
"Black","4","5"
"Mixed","4","4"
"White British","4","2"
"White other","1","1"
"Other","3","3"
