"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","All","ONS 5+2","K02000001","7","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","All","ONS 5+2","K02000001","4","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","All","ONS 5+2","K02000001","3","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","All","ONS 5+2","K02000001","2","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","All","ONS 5+2","K02000001","1","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","All","ONS 5+2","K02000001","4","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","All","ONS 5+2","K02000001","26","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","All","ONS 5+2","K02000001","19","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","All","ONS 5+2","K02000001","14","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","All","ONS 5+2","K02000001","10","71,324"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","All","ONS 5+2","K02000001","9","71,324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","7","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","5","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","4","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","1","420"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","5","420"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","19","420"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","20","420"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","15","420"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","12","420"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","11","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","7","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","5","2,622"
