"Tariff marker","Ethnicity","%","Number of entrants "
"High","Asian","29.0","23,810"
"High","Black","16.3","9,485"
"High","Mixed","33.6","9,930"
"High","White","34.9","201,995"
"High","Other","27.3","3,500"
"High","Unknown","40.8","6,025"
"Medium","Asian","41.7","34,295"
"Medium","Black","36.7","21,365"
"Medium","Mixed","33.0","9,770"
"Medium","White","29.6","171,045"
"Medium","Other","39.1","5,015"
"Medium","Unknown","27.5","4,060"
"Low","Asian","27.0","22,200"
"Low","Black","44.1","25,680"
"Low","Mixed","29.4","8,690"
"Low","White","28.6","165,155"
"Low","Other","30.7","3,940"
"Low","Unknown","24.6","3,630"
"Other","Asian","2.2","1,840"
"Other","Black","2.8","1,650"
"Other","Mixed","4.0","1,190"
"Other","White","6.9","39,960"
"Other","Other","3.0","380"
"Other","Unknown","7.1","1,050"
