"","All staff average monthly basic pay","","","Medical staff average monthly basic pay","","","Non-medical staff average monthly basic pay","",""
"Ethnicity","Female","Male","Pay per £1 paid to men","Female","Male","Pay per £1 paid to men","Female","Male","Pay per £1 paid to men"
"All","£2,423","£3,157","77p","£4,897","£5,703","86p","£2,276","£2,429","94p"
"Asian","£2,637","£3,764","70p","£4,760","£5,636","84p","£2,209","£2,251","98p"
"Black","£2,242","£2,551","88p","£4,303","£5,142","84p","£2,160","£2,098","£1.03"
"Mixed","£2,407","£3,145","77p","£4,387","£5,017","87p","£2,171","£2,223","98p"
"White","£2,407","£3,034","79p","£5,104","£5,934","86p","£2,293","£2,483","92p"
"Other","£2,590","£3,691","70p","£4,652","£5,564","84p","£2,252","£2,245","£1.00"
"Unknown","£2,491","£3,369","74p","£4,401","£5,145","86p","£2,265","£2,566","88p"
