"Type of role","Ethnicity","Female","Male","Pay per £1 paid to men"
"All staff average monthly basic pay","All","£2,423","£3,157","77p"
"All staff average monthly basic pay","Asian","£2,637","£3,764","70p"
"All staff average monthly basic pay","Black","£2,242","£2,551","88p"
"All staff average monthly basic pay","Mixed","£2,407","£3,145","77p"
"All staff average monthly basic pay","White","£2,407","£3,034","79p"
"All staff average monthly basic pay","Other","£2,590","£3,691","70p"
"All staff average monthly basic pay","Unknown","£2,491","£3,369","74p"
"Medical staff average monthly basic pay","All","£4,897","£5,703","86p"
"Medical staff average monthly basic pay","Asian","£4,760","£5,636","84p"
"Medical staff average monthly basic pay","Black","£4,303","£5,142","84p"
"Medical staff average monthly basic pay","Mixed","£4,387","£5,017","87p"
"Medical staff average monthly basic pay","White","£5,104","£5,934","86p"
"Medical staff average monthly basic pay","Other","£4,652","£5,564","84p"
"Medical staff average monthly basic pay","Unknown","£4,401","£5,145","86p"
"Non-medical staff average monthly basic pay","All","£2,276","£2,429","94p"
"Non-medical staff average monthly basic pay","Asian","£2,209","£2,251","98p"
"Non-medical staff average monthly basic pay","Black","£2,160","£2,098","£1.03"
"Non-medical staff average monthly basic pay","Mixed","£2,171","£2,223","98p"
"Non-medical staff average monthly basic pay","White","£2,293","£2,483","92p"
"Non-medical staff average monthly basic pay","Other","£2,252","£2,245","£1.00"
"Non-medical staff average monthly basic pay","Unknown","£2,265","£2,566","88p"
