"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","78%","71%","73%","73%","79%","69%"
"Level 4 and above","87%","84%","84%","86%","87%","78%"
"Level 3","82%","73%","74%","71%","83%","63%"
"Level 2","75%","60%","63%","61%","76%","66%"
"Below Level 2","70%","58%","62%","61%","72%","57%"
"Other qualifications","76%","65%","71%","?","79%","66%"
"No qualifications","48%","42%","51%","36%","49%","45%"
