"Gender","Ethnicity","%","Sample size"
"All","Asian","16","5,395"
"All","Black","18","2,830"
"All","Mixed","23","1,043"
"All","White","15","93,852"
"All","Other","15","825"
"Men","Asian","16","2,651"
"Men","Black","18","1,179"
"Men","Mixed","21","438"
"Men","White","15","42,755"
"Men","Other","17","429"
"Women","Asian","16","2,744"
"Women","Black","17","1,651"
"Women","Mixed","25","605"
"Women","White","14","51,097"
"Women","Other","14","396"
