"","All","","Men","","Women",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size"
"Asian","16","5,395","16","2,651","16","2,744"
"Black","18","2,830","18","1,179","17","1,651"
"Mixed","23","1,043","21","438","25","605"
"White","15","93,852","15","42,755","14","51,097"
"Other","15","825","17","429","14","396"
