"","Asian","","Black","","Mixed","","White","","Other",""
"Age group","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"16-24","15","582","23","264","27","215","22","6,333","12","103"
"25-34","19","1,372","20","546","25","274","19","12,695","14","191"
"35-44","16","1,540","17","723","23","225","17","14,070","22","226"
"45-54","18","822","19","656","22","152","16","16,191","14","128"
"55-64","13","546","13","340","13","90","12","15,594","14","87"
"65-74","14","359","6","168","3","55","8","16,174","8","62"
"75+","9","174","7","133","?","32","5","12,795","?","28"
