"","All","East","East Midlands","London","North East","North West","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"","%","%","%","%","%","%","%","%","%","%","%"
"White","1.0","0.7","0.9","0.8","1.9","0.9","0.7","0.7","1.2","1.2","1.3"
"Other than White","1.6","1.0","1.3","1.5","2.0","1.8","0.8","1.1","1.8","2.6","2.1"
