"","2011","2012","2013","2014","2015","2016","2017"
"","%","%","%","%","%","%","%"
"White","3.3","3.4","3.0","2.1","1.5","1.1","1.0"
"Other than White","4.5","4.6","4.1","3.0","2.3","1.9","1.6"
