"Ethnicity","Local authority","%"
"Asian","North Somerset","88"
"Asian","North Tyneside","75"
"Asian","North Yorkshire","76"
"Asian","Northamptonshire","84"
"Asian","Northumberland","88"
"Asian","Nottingham","76"
"Asian","Nottinghamshire","82"
"Asian","Oldham","75"
"Asian","Oxfordshire","82"
"Asian","Peterborough","75"
"Asian","Plymouth","88"
"Asian","Portsmouth","85"
"Asian","Reading","78"
"Asian","Redbridge","86"
"Asian","Redcar and Cleveland","88"
"Asian","Richmond upon Thames","87"
"Asian","Rochdale","75"
"Asian","Rotherham","75"
"Asian","Rutland","67"
"Asian","Salford","77"
"Asian","Sandwell","79"
"Asian","Sefton","78"
"Asian","Sheffield","75"
"Asian","Shropshire","68"
"Asian","Slough","87"
"Asian","Solihull","85"
"Asian","Somerset","88"
"Asian","South Gloucestershire","91"
"Asian","South Tyneside","79"
"Asian","Southampton","80"
"Asian","Southend-on-Sea","82"
"Asian","Southwark","80"
"Asian","St. Helens","73"
"Asian","Staffordshire","82"
"Asian","Stockport","84"
"Asian","Stockton-on-Tees","86"
"Asian","Stoke-on-Trent","79"
"Asian","Suffolk","79"
"Asian","Sunderland","77"
"Asian","Surrey","85"
"Asian","Sutton","91"
"Asian","Swindon","83"
"Asian","Tameside","74"
"Asian","Telford and Wrekin","75"
"Asian","Thurrock","87"
"Asian","Torbay","87"
"Asian","Tower Hamlets","81"
"Asian","Trafford","86"
"Asian","Wakefield","74"
"Asian","Walsall","81"
"Asian","Waltham Forest","85"
"Asian","Wandsworth","78"
"Asian","Warrington","82"
"Asian","Warwickshire","84"
"Asian","West Berkshire","89"
"Asian","West Sussex","79"
"Asian","Westminster","85"
"Asian","Wigan","83"
"Asian","Wiltshire","70"
"Asian","Windsor and Maidenhead","85"
"Asian","Wirral","76"
"Asian","Wokingham","90"
"Asian","Wolverhampton","82"
"Asian","Worcestershire","77"
"Asian","York","85"
"Black","Barking and Dagenham","84"
"Black","Barnet","84"
"Black","Barnsley","67"
"Black","Bath and North East Somerset","90"
"Black","Bedford","74"
