"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","27,200","£","23,170"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","28,400","£","11,970"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","29,500","£","1080"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","29,600","£","6,140"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","27,200","£","304,430"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","30,000","£","1,980"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","All grades","UK and overseas","UK and overseas","26,500","£","95,680"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,300","£","168,510"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,000","£","111,990"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,300","£","101,550"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,100","£","39,530"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","81,300","£","4,940"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","29,600","£","12,810"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,000","£","7,820"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","26,400","£","5,650"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,000","£","3,710"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,200","£","1,090"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","88,900","£","120"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","27,500","£","160"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","21,500","£","4,200"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","26,600","£","3,360"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,200","£","1,970"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,900","£","470"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","88,900","£","50"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","28,500","£","160"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,300","£","300"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,800","£","230"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,700","£","240"
