"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,600","£","250"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,800","£","120"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","96,500","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","28,300","£","20"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,800","£","1,460"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","25,600","£","1,270"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","1,240"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,400","£","580"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","80,700","£","50"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","150"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,700","£","98,710"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","25,300","£","75,940"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,700","£","69,990"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","29,690"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","80,800","£","3,750"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","29,600","£","5,660"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,400","£","530"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","26,200","£","480"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","35,200","£","430"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,200","£","240"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","81,400","£","20"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","31,700","£","50"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,200","£","37,430"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","25,300","£","22,990"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,800","£","20,690"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","8,860"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","82,800","£","1,070"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","7,210"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,000","£","148,280"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","25,600","£","110,100"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,900","£","106,150"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,700","£","45,610"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","81,500","£","5,500"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,500","£","14,440"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,200","£","7,150"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","26,900","£","6,560"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,000","£","4,670"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,800","£","1,540"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","86,700","£","190"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,700","£","370"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","22,500","£","3,480"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","27,500","£","3,490"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,700","£","2,350"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,400","£","650"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","90,000","£","50"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,600","£","330"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,700","£","280"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","26,600","£","230"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,800","£","300"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,500","£","130"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","88,400","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","20"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,100","£","1,390"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","26,100","£","1,280"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,500","£","1,370"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,100","£","690"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","80,000","£","60"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","32,300","£","170"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,000","£","93,470"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","25,400","£","74,400"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,900","£","73,170"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,900","£","31,820"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","81,000","£","3,920"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,500","£","6,510"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,600","£","510"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","26,600","£","490"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","35,000","£","450"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","56,000","£","240"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","77,100","£","20"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","29,700","£","30"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,700","£","42,000"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Executive officer","UK and overseas","UK and overseas","25,400","£","23,650"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,700","£","23,850"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,100","£","10,540"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Senior Civil Service","UK and overseas","UK and overseas","82,400","£","1,250"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","Unknown grade","UK and overseas","UK and overseas","30,500","£","7,010"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,200","£","144,330"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","25,700","£","115,650"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","113,180"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,000","£","50,160"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","81,200","£","5,880"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,300","£","15,230"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,400","£","7,560"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","27,000","£","7,280"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","5,580"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,000","£","2,010"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","87,700","£","210"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","540"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","22,500","£","3,700"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","27,900","£","3,910"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,900","£","2,860"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,400","£","830"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","84,600","£","60"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","27,600","£","620"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,200","£","290"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","26,500","£","250"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","35,500","£","350"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,700","£","160"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","90,500","£","20"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,300","£","20"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,600","£","1,590"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","26,100","£","1,520"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,600","£","1,740"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,900","£","920"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","77,000","£","80"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","290"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,200","£","94,770"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","25,700","£","79,410"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","80,120"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,000","£","36,430"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","80,400","£","4,490"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,300","£","9,210"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,900","£","540"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","26,500","£","530"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,800","£","550"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","56,000","£","290"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","78,700","£","20"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","30,800","£","50"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,200","£","35,890"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Executive officer","UK and overseas","UK and overseas","25,700","£","22,750"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,000","£","22,000"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,000","£","9,520"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Senior Civil Service","UK and overseas","UK and overseas","83,600","£","1,000"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2019","Year","Unknown grade","UK and overseas","UK and overseas","31,100","£","4,510"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","20,000","£","28,880"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","23,000","£","52,150"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","24,300","£","33,260"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,300","£","20,080"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","23,600","£","29,890"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","25,000","£","23,830"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","31,600","£","79,020"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","25,900","£","42,620"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","28,700","£","44,240"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,200","£","30,800"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","23,100","£","43,620"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","22,700","£","3,660"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","30,500","£","2,500"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,300","£","190"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","19,700","£","1,150"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","20,000","£","1,250"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","19,300","£","1,210"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","20,900","£","2,410"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","22,300","£","820"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","27,100","£","9,520"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","23,900","£","1,000"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","27,900","£","390"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","21,000","£","190"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","20,000","£","280"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","26,400","£","10"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","25,000","£","10"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,800","£","60"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","20,000","£","350"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","23,000","£","320"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","21,000","£","290"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","21,000","£","760"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East","Region","26,000","£","400"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","London","Region","26,800","£","7,060"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South East","Region","24,000","£","520"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","South West","Region","24,700","£","230"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Wales","Region","23,000","£","80"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Scotland","Region","19,300","£","80"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Northern Ireland","Region","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Unknown","Region","24,000","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North East","Region","19,400","£","30"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","North West","Region","20,000","£","100"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","Yorkshire and The Humber","Region","22,500","£","50"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","East Midlands","Region","23,000","£","20"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","All grades","West Midlands","Region","25,200","£","30"
