"","2016-17","","2017-18","","2018-19","","2019-20",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","85","7,343","85","7,537","84","7,891","84","7,820"
"Asian","84","993","84","859","83","840","85","728"
"Black","81","197","82","233","75","213","86","253"
"Mixed","79","143","73","197","80","200","77","211"
"White","85","5,821","86","6,107","85","6,464","84","6,243"
"Other","68","120","79","85","62","96","78","79"
