"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys"
"Barking and Dagenham","78","62","77","65","80","66","100","50","81","60","78","60"
"Barnet","80","67","83","70","78","66","89","72","83","66","82","70"
"Barnsley","78","60","50","75","89","78","?","?","90","66","78","60"
"Bath and North East Somerset","78","68","67","67","67","?","50","?","75","61","79","69"
"Bedford Borough","75","61","70","57","76","55","?","?","77","63","75","63"
"Bexley","82","69","84","68","80","69","88","87","85","70","82","70"
"Birmingham","74","59","75","59","75","58","70","79","76","62","74","60"
"Blackburn with Darwen","75","58","78","57","71","78","?","?","76","50","74","60"
"Blackpool","73","61","56","39","100","?","?","?","76","88","73","61"
"Bolton","74","57","76","57","69","45","71","60","73","64","76","59"
"Bournemouth Christchurch and Poole","81","66","83","73","94","56","?","100","76","64","83","67"
"Bracknell Forest","82","70","81","67","81","75","?","63","92","68","82","71"
"Bradford","74","60","73","58","66","57","?","?","76","58","75","62"
"Brent","77","65","81","72","74","62","83","?","85","66","80","66"
"Brighton and Hove","77","66","58","67","68","61","75","29","82","69","79","66"
"Bristol City of","76","63","75","55","66","51","100","70","78","65","79","65"
"Bromley","84","71","87","75","78","55","93","85","85","73","86","73"
"Buckinghamshire","80","67","71","60","73","55","70","75","82","69","83","69"
"Bury","77","65","79","50","71","44","?","75","78","62","78","68"
"Calderdale","77","61","68","49","57","55","?","?","82","68","80","65"
"Cambridgeshire","77","63","76","57","73","57","80","73","79","67","78","63"
"Camden","80","65","80","66","76","62","86","?","85","70","80","66"
"Central Bedfordshire","79","65","79","65","70","49","100","89","81","55","79","66"
"Cheshire East","78","65","81","64","69","47","?","60","69","68","79","66"
"Cheshire West and Chester","78","64","81","69","75","46","?","20","76","64","78","64"
"City of London","95","78","100","78","N/A","N/A","N/A","N/A","?","?","100","83"
"Cornwall","77","61","73","36","100","?","60","67","83","75","77","61"
"Coventry","74","63","78","65","76","63","91","75","71","67","74","63"
"Croydon","79","68","79","69","79","64","100","100","82","71","79","70"
"Cumbria","77","62","53","60","?","67","?","67","63","69","78","62"
"Darlington","77","64","78","48","100","?","?","N/A","67","57","77","65"
"Derby","77","62","80","67","77","59","50","89","85","63","77","62"
"Derbyshire","76","62","66","58","71","50","67","90","76","58","77","63"
"Devon","78","66","65","75","100","71","67","33","75","67","79","67"
"Doncaster","78","64","81","67","70","48","?","?","80","70","79","65"
"Dorset","77","65","63","41","?","?","?","?","83","63","78","66"
"Dudley","73","57","69","51","73","64","?","63","74","57","75","57"
"Durham","78","64","61","73","75","71","?","100","86","56","78","64"
"Ealing","77","64","81","67","76","58","86","67","84","62","78","69"
"East Riding of Yorkshire","81","66","71","40","?","?","N/A","N/A","79","59","81","66"
"East Sussex","83","68","84","62","68","42","?","88","84","69","83","69"
"Enfield","76","62","86","75","74","57","80","75","78","74","76","60"
"Essex","80","67","82","65","73","60","76","84","80","67","80","68"
"Gateshead","79","66","72","75","62","58","69","70","72","77","80","66"
"Gloucestershire","78","64","67","48","56","56","75","56","76","67","79","65"
"Greenwich","84","72","88","68","83","69","90","86","88","76","83","73"
"Hackney","76","61","86","74","80","62","100","86","83","70","82","75"
"Halton","75","56","?","?","?","?","N/A","N/A","85","52","75","57"
"Hammersmith and Fulham","80","65","86","58","75","55","100","?","70","66","83","72"
"Hampshire","83","70","85","64","79","65","74","79","80","67","83","71"
"Haringey","81","67","86","66","78","60","93","60","81","74","83","71"
"Harrow","80","68","83","72","74","54","69","?","83","71","79","67"
"Hartlepool","79","64","73","60","?","?","?","N/A","100","64","79","64"
"Havering","78","64","83","65","77","59","70","86","80","72","78","64"
