"","Low","","Medium","","High","","Other",""
"Ethnicity","%","Number of entrants ","%","Number of entrants ","%","Number of entrants ","%","Number of entrants "
"Asian","33.6","33,640","33.9","33,985","32.1","32,125","0.4","375"
"Black","53.4","36,250","28.5","19,345","17.8","12,065","0.3","170"
"Mixed","36.7","13,705","29.3","10,930","33.6","12,535","0.4","150"
"White","34.9","224,020","31.8","204,005","32.9","211,170","0.3","1,960"
"Other","42.7","7,385","28.0","4,850","29.0","5,020","0.3","55"
"Unknown","42.1","7,875","24.9","4,645","32.6","6,100","0.3","60"
