"Ethnicity","Local authority","Score","Pupils"
"Mixed","Southwark","0.16","246"
"Mixed","St. Helens","-0.05","29"
"Mixed","Staffordshire","-0.20","220"
"Mixed","Stockport","0.04","106"
"Mixed","Stockton-on-Tees","0.10","40"
"Mixed","Stoke-on-Trent","-0.17","74"
"Mixed","Suffolk","0.17","247"
"Mixed","Sunderland","-0.35","30"
"Mixed","Surrey","0.26","453"
"Mixed","Sutton","0.45","216"
"Mixed","Swindon","-0.39","88"
"Mixed","Tameside","-0.07","80"
"Mixed","Telford and Wrekin","-0.10","74"
"Mixed","Thurrock","0.13","67"
"Mixed","Torbay","0.51","29"
"Mixed","Tower Hamlets","-0.69","100"
"Mixed","Trafford","-0.03","170"
"Mixed","Wakefield","-0.03","71"
"Mixed","Walsall","-0.32","173"
"Mixed","Waltham Forest","0.04","226"
"Mixed","Wandsworth","0.31","212"
"Mixed","Warrington","0.12","65"
"Mixed","Warwickshire","0.04","189"
"Mixed","West Berkshire","-0.23","63"
"Mixed","West Sussex","0.15","263"
"Mixed","Westminster","0.34","126"
"Mixed","Wigan","-0.22","50"
"Mixed","Wiltshire","0.24","113"
"Mixed","Windsor and Maidenhead","0.37","103"
"Mixed","Wirral","0.31","76"
"Mixed","Wokingham","0.28","87"
"Mixed","Wolverhampton","-0.28","258"
"Mixed","Worcestershire","0.04","160"
"Mixed","York","0.31","35"
"White","All - England","-0.10","381,934"
"White","Barking and Dagenham","-0.19","857"
"White","Barnet","0.50","1,749"
"White","Barnsley","-0.17","1,918"
"White","Bath and North East Somerset","-0.02","1,806"
"White","Bedford","0.07","1,219"
"White","Bexley","-0.31","1,858"
"White","Birmingham","-0.19","3,746"
"White","Blackburn with Darwen","-0.41","886"
"White","Blackpool","-0.67","1,049"
"White","Bolton","-0.34","2,193"
"White","Bournemouth","0.10","1,252"
"White","Bracknell Forest","-0.04","872"
"White","Bradford","-0.25","2,600"
"White","Brent","0.36","387"
"White","Brighton and Hove","-0.08","1,700"
"White","Bristol, City of","-0.20","2,062"
"White","Bromley","-0.01","2,183"
"White","Buckinghamshire","0.16","3,698"
"White","Bury","-0.35","1,568"
"White","Calderdale","0.00","1,883"
"White","Cambridgeshire","0.12","4,680"
"White","Camden","0.10","498"
"White","Central Bedfordshire","-0.16","2,256"
"White","Cheshire East","0.00","3,222"
"White","Cheshire West and Chester","-0.13","3,034"
"White","City of London","N/A","0"
"White","Cornwall","-0.09","4,825"
"White","County Durham","-0.21","4,390"
"White","Coventry","-0.30","2,010"
"White","Croydon","0.03","1,144"
"White","Cumbria","-0.11","4,306"
"White","Darlington","-0.29","974"
"White","Derby","-0.29","1,841"
"White","Derbyshire","-0.23","6,650"
"White","Devon","-0.13","5,948"
"White","Doncaster","-0.25","2,613"
"White","Dorset","0.01","3,714"
"White","Dudley","-0.20","2,608"
"White","Ealing","0.44","746"
"White","East Riding of Yorkshire","0.05","2,995"
"White","East Sussex","-0.05","4,141"
"White","Enfield","0.03","1,452"
"White","Essex","-0.14","12,050"
"White","Gateshead","-0.30","1,714"
"White","Gloucestershire","-0.01","5,095"
"White","Greenwich","-0.37","933"
"White","Hackney","0.51","647"
"White","Halton","-0.27","1,264"
"White","Hammersmith and Fulham","0.39","517"
"White","Hampshire","-0.12","11,217"
"White","Haringey","0.38","879"
"White","Harrow","0.19","426"
"White","Hartlepool","-0.50","959"
"White","Havering","-0.22","1,977"
"White","Herefordshire, County of","-0.04","1,490"
"White","Hertfordshire","0.12","9,468"
"White","Hillingdon","-0.23","1,347"
"White","Hounslow","0.16","828"
"White","Isle of Wight","-0.38","1,014"
"White","Isles of Scilly","0.95","12"
"White","Islington","0.08","457"
"White","Kensington and Chelsea","0.15","222"
"White","Kent","-0.15","12,863"
"White","Kingston upon Hull, City of","-0.06","1,972"
"White","Kingston upon Thames","0.33","783"
"White","Kirklees","-0.12","2,807"
"White","Knowsley","-0.82","895"
"White","Lambeth","0.17","466"
"White","Lancashire","-0.14","9,615"
"White","Leeds","-0.01","5,207"
"White","Leicester","-0.63","1,036"
"White","Leicestershire","-0.11","5,768"
"White","Lewisham","-0.14","551"
"White","Lincolnshire","-0.17","6,590"
"White","Liverpool","-0.39","3,648"
"White","Luton","-0.46","791"
"White","Manchester","-0.52","1,988"
"White","Medway","-0.07","2,367"
"White","Merton","0.33","597"
"White","Middlesbrough","-0.36","998"
"White","Milton Keynes","-0.30","1,823"
"White","Newcastle upon Tyne","-0.30","1,850"
"White","Newham","-0.02","521"
"White","Norfolk","-0.03","6,784"
"White","North East Lincolnshire","0.02","1,347"
"White","North Lincolnshire","0.09","1,497"
"White","North Somerset","-0.11","1,925"
"White","North Tyneside","-0.22","1,738"
"White","North Yorkshire","0.12","5,479"
"White","Northamptonshire","-0.06","5,985"
"White","Northumberland","-0.09","2,883"
"White","Nottingham","-0.45","1,371"
"White","Nottinghamshire","-0.05","6,671"
"White","Oldham","-0.47","1,727"
"White","Oxfordshire","-0.02","4,687"
"White","Peterborough","-0.28","1,559"
"White","Plymouth","-0.35","2,277"
"White","Poole","0.27","1,149"
"White","Portsmouth","-0.44","1,394"
"White","Reading","-0.27","576"
"White","Redbridge","0.17","706"
"White","Redcar and Cleveland","-0.47","1,446"
"White","Richmond upon Thames","0.13","1,039"
"White","Rochdale","-0.33","1,405"
"White","Rotherham","-0.12","2,692"
"White","Rutland","0.41","431"
"White","Salford","-0.56","1,727"
"White","Sandwell","-0.55","1,855"
"White","Sefton","-0.28","2,611"
"White","Sheffield","-0.07","3,588"
"White","Shropshire","-0.09","2,569"
"White","Slough","0.03","404"
"White","Solihull","-0.18","2,170"
"White","Somerset","-0.15","4,289"
"White","South Gloucestershire","-0.21","2,203"
"White","South Tyneside","-0.26","1,314"
"White","Southampton","-0.33","1,433"
"White","Southend-on-Sea","-0.01","1,512"
"White","Southwark","0.13","604"
"White","St. Helens","-0.38","1,624"
"White","Staffordshire","-0.14","7,498"
"White","Stockport","-0.07","2,212"
"White","Stockton-on-Tees","-0.14","1,719"
"White","Stoke-on-Trent","-0.37","1,598"
"White","Suffolk","0.06","6,009"
"White","Sunderland","-0.42","2,423"
"White","Surrey","0.13","7,960"
"White","Sutton","0.11","1,444"
"White","Swindon","-0.21","1,562"
"White","Tameside","-0.28","2,017"
"White","Telford and Wrekin","-0.17","1,591"
"White","Thurrock","-0.31","1,246"
"White","Torbay","-0.09","1,233"
"White","Tower Hamlets","-0.55","282"
"White","Trafford","0.14","1,956"
"White","Wakefield","-0.21","3,047"
"White","Walsall","-0.34","2,103"
"White","Waltham Forest","0.11","741"
"White","Wandsworth","0.39","505"
"White","Warrington","-0.17","2,155"
"White","Warwickshire","0.02","4,667"
"White","West Berkshire","0.15","1,497"
"White","West Sussex","0.01","6,486"
"White","Westminster","0.55","327"
"White","Wigan","-0.35","3,044"
"White","Wiltshire","-0.01","4,070"
"White","Windsor and Maidenhead","0.24","994"
"White","Wirral","0.01","2,935"
"White","Wokingham","0.29","1,188"
"White","Wolverhampton","-0.22","1,398"
"White","Worcestershire","0.04","4,692"
"White","York","0.08","1,479"
