"Ethnicity","Local authority","Score","Pupils"
"All","Lancashire","-0.09","11,318"
"All","Leeds","-0.02","7,187"
"All","Leicester","-0.04","3,043"
"All","Leicestershire","-0.04","6,644"
"All","Lewisham","-0.22","1,952"
"All","Lincolnshire","-0.14","6,928"
"All","Liverpool","-0.32","4,270"
"All","Luton","-0.04","2,364"
"All","Manchester","-0.13","4,136"
"All","Medway","0.02","2,807"
"All","Merton","0.44","1,229"
"All","Middlesbrough","-0.24","1,285"
"All","Milton Keynes","-0.15","2,604"
"All","Newcastle upon Tyne","-0.14","2,310"
"All","Newham","0.32","3,336"
"All","Norfolk","0.00","7,199"
"All","North East Lincolnshire","-0.03","1,538"
"All","North Lincolnshire","0.11","1,639"
"All","North Somerset","-0.09","2,027"
"All","North Tyneside","-0.20","1,824"
"All","North Yorkshire","0.13","5,765"
"All","Northamptonshire","0.00","6,989"
"All","Northumberland","-0.09","2,991"
"All","Nottingham","-0.27","2,299"
"All","Nottinghamshire","-0.02","7,316"
"All","Oldham","-0.30","2,801"
"All","Oxfordshire","-0.01","5,499"
"All","Peterborough","-0.20","2,119"
"All","Plymouth","-0.32","2,395"
"All","Poole","0.30","1,253"
"All","Portsmouth","-0.34","1,607"
"All","Reading","-0.04","979"
"All","Redbridge","0.47","3,194"
"All","Redcar and Cleveland","-0.45","1,494"
"All","Richmond upon Thames","0.14","1,359"
"All","Rochdale","-0.14","2,140"
"All","Rotherham","-0.09","3,070"
"All","Rutland","0.43","448"
"All","Salford","-0.46","1,958"
"All","Sandwell","-0.31","3,441"
"All","Sefton","-0.30","2,780"
"All","Sheffield","0.00","4,781"
"All","Shropshire","-0.08","2,701"
"All","Slough","0.30","1,583"
"All","Solihull","-0.14","2,850"
"All","Somerset","-0.14","4,436"
"All","South Gloucestershire","-0.18","2,428"
"All","South Tyneside","-0.26","1,436"
"All","Southampton","-0.22","1,775"
"All","Southend-on-Sea","0.14","1,921"
"All","Southwark","0.30","2,191"
"All","St. Helens","-0.39","1,716"
"All","Staffordshire","-0.12","8,089"
"All","Stockport","-0.03","2,517"
"All","Stockton-on-Tees","-0.08","1,898"
"All","Stoke-on-Trent","-0.26","2,070"
"All","Suffolk","0.08","6,520"
"All","Sunderland","-0.37","2,573"
"All","Surrey","0.17","9,281"
"All","Sutton","0.39","2,535"
"All","Swindon","-0.14","1,913"
"All","Tameside","-0.17","2,426"
"All","Telford and Wrekin","-0.13","1,825"
"All","Thurrock","-0.19","1,577"
"All","Torbay","-0.07","1,361"
"All","Tower Hamlets","0.15","2,534"
"All","Trafford","0.22","2,645"
"All","Wakefield","-0.19","3,295"
"All","Walsall","-0.19","3,119"
"All","Waltham Forest","0.21","2,297"
"All","Wandsworth","0.30","1,554"
"All","Warrington","-0.14","2,316"
"All","Warwickshire","0.06","5,255"
"All","West Berkshire","0.11","1,656"
"All","West Sussex","0.05","7,227"
"All","Westminster","0.47","1,386"
"All","Wigan","-0.33","3,169"
"All","Wiltshire","0.01","4,422"
"All","Windsor and Maidenhead","0.26","1,345"
"All","Wirral","0.03","3,111"
"All","Wokingham","0.34","1,533"
"All","Wolverhampton","-0.05","2,423"
"All","Worcestershire","0.06","5,102"
"All","York","0.11","1,556"
"Asian","All - England","0.45","50,460"
"Asian","Barking and Dagenham","0.65","398"
"Asian","Barnet","0.96","481"
"Asian","Barnsley","1.06","8"
"Asian","Bath and North East Somerset","0.91","21"
"Asian","Bedford","0.25","260"
"Asian","Bexley","0.57","219"
"Asian","Birmingham","0.08","4,728"
"Asian","Blackburn with Darwen","0.50","802"
"Asian","Blackpool","0.13","21"
"Asian","Bolton","0.53","632"
"Asian","Bournemouth","1.12","38"
"Asian","Bracknell Forest","0.80","52"
"Asian","Bradford","0.27","2,601"
"Asian","Brent","0.96","737"
"Asian","Brighton and Hove","0.59","51"
"Asian","Bristol, City of","0.42","234"
"Asian","Bromley","0.84","140"
"Asian","Buckinghamshire","0.46","924"
"Asian","Bury","0.41","277"
"Asian","Calderdale","0.39","372"
"Asian","Cambridgeshire","0.73","145"
"Asian","Camden","0.11","268"
"Asian","Central Bedfordshire","0.20","50"
"Asian","Cheshire East","0.48","51"
"Asian","Cheshire West and Chester","0.54","23"
"Asian","City of London","N/A","0"
"Asian","Cornwall","0.70","15"
"Asian","County Durham","0.58","25"
"Asian","Coventry","0.54","633"
"Asian","Croydon","0.58","413"
"Asian","Cumbria","0.67","28"
"Asian","Darlington","0.19","27"
"Asian","Derby","0.33","443"
"Asian","Derbyshire","0.31","58"
"Asian","Devon","0.54","17"
"Asian","Doncaster","0.35","91"
"Asian","Dorset","1.08","21"
"Asian","Dudley","0.19","292"
"Asian","Ealing","0.89","693"
"Asian","East Riding of Yorkshire","0.64","6"
"Asian","East Sussex","0.78","73"
"Asian","Enfield","0.49","286"
"Asian","Essex","0.83","325"
"Asian","Gateshead","0.54","39"
"Asian","Gloucestershire","0.82","159"
"Asian","Greenwich","0.22","176"
"Asian","Hackney","0.44","250"
"Asian","Halton","-0.21","2"
"Asian","Hammersmith and Fulham","0.49","102"
"Asian","Hampshire","0.54","278"
"Asian","Haringey","0.35","146"
"Asian","Harrow","0.69","823"
"Asian","Hartlepool","0.50","22"
"Asian","Havering","0.64","132"
"Asian","Herefordshire, County of","0.95","7"
"Asian","Hertfordshire","0.67","862"
"Asian","Hillingdon","0.73","651"
"Asian","Hounslow","0.86","678"
"Asian","Isle of Wight","0.49","4"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","0.64","175"
"Asian","Kensington and Chelsea","0.58","40"
"Asian","Kent","0.70","535"
"Asian","Kingston upon Hull, City of","0.74","34"
"Asian","Kingston upon Thames","1.04","333"
"Asian","Kirklees","0.21","1,188"
"Asian","Knowsley","0.11","3"
"Asian","Lambeth","0.55","89"
"Asian","Lancashire","0.29","1,257"
"Asian","Leeds","0.27","899"
"Asian","Leicester","0.44","1,393"
"Asian","Leicestershire","0.76","501"
"Asian","Lewisham","0.09","119"
"Asian","Lincolnshire","1.03","73"
"Asian","Liverpool","0.74","107"
"Asian","Luton","0.32","1,105"
"Asian","Manchester","0.47","879"
"Asian","Medway","0.95","145"
"Asian","Merton","0.98","193"
"Asian","Middlesbrough","0.65","167"
"Asian","Milton Keynes","0.38","221"
"Asian","Newcastle upon Tyne","0.62","248"
"Asian","Newham","0.57","1,563"
"Asian","Norfolk","0.71","82"
"Asian","North East Lincolnshire","0.47","15"
"Asian","North Lincolnshire","0.48","67"
"Asian","North Somerset","0.59","28"
"Asian","North Tyneside","0.39","30"
"Asian","North Yorkshire","0.52","101"
"Asian","Northamptonshire","0.64","315"
"Asian","Northumberland","0.54","38"
"Asian","Nottingham","0.27","424"
"Asian","Nottinghamshire","0.66","196"
"Asian","Oldham","0.07","858"
"Asian","Oxfordshire","0.17","261"
"Asian","Peterborough","0.11","333"
"Asian","Plymouth","1.06","18"
"Asian","Poole","1.02","35"
"Asian","Portsmouth","0.79","80"
"Asian","Reading","0.65","182"
"Asian","Redbridge","0.68","1,694"
"Asian","Redcar and Cleveland","0.71","23"
"Asian","Richmond upon Thames","0.64","92"
"Asian","Rochdale","0.26","582"
"Asian","Rotherham","0.09","260"
"Asian","Rutland","0.84","2"
"Asian","Salford","0.64","39"
"Asian","Sandwell","0.13","983"
"Asian","Sefton","0.22","26"
"Asian","Sheffield","0.35","514"
"Asian","Shropshire","0.15","26"
"Asian","Slough","0.45","846"
"Asian","Solihull","0.23","305"
"Asian","Somerset","0.46","32"
"Asian","South Gloucestershire","0.62","68"
"Asian","South Tyneside","0.65","52"
"Asian","Southampton","0.47","190"
"Asian","Southend-on-Sea","0.93","179"
"Asian","Southwark","0.67","128"
"Asian","St. Helens","0.77","12"
"Asian","Staffordshire","0.30","262"
"Asian","Stockport","0.59","136"
"Asian","Stockton-on-Tees","0.53","109"
"Asian","Stoke-on-Trent","0.11","330"
"Asian","Suffolk","0.79","112"
"Asian","Sunderland","0.82","89"
"Asian","Surrey","0.59","542"
"Asian","Sutton","1.05","578"
"Asian","Swindon","0.47","180"
"Asian","Tameside","0.50","277"
"Asian","Telford and Wrekin","0.27","112"
"Asian","Thurrock","0.29","68"
"Asian","Torbay","1.13","17"
"Asian","Tower Hamlets","0.36","1,768"
"Asian","Trafford","0.61","338"
"Asian","Wakefield","0.10","116"
"Asian","Walsall","0.27","677"
"Asian","Waltham Forest","0.48","713"
"Asian","Wandsworth","0.59","305"
"Asian","Warrington","0.61","47"
"Asian","Warwickshire","0.71","257"
"Asian","West Berkshire","0.40","43"
"Asian","West Sussex","0.69","298"
"Asian","Westminster","0.59","210"
"Asian","Wigan","0.42","23"
"Asian","Wiltshire","0.78","47"
"Asian","Windsor and Maidenhead","0.38","180"
"Asian","Wirral","1.10","51"
"Asian","Wokingham","0.64","166"
"Asian","Wolverhampton","0.52","512"
"Asian","Worcestershire","0.61","183"
"Asian","York","0.83","21"
"Black","All - England","0.12","25,183"
"Black","Barking and Dagenham","0.44","540"
"Black","Barnet","0.32","443"
"Black","Barnsley","0.48","14"
"Black","Bath and North East Somerset","-0.07","20"
"Black","Bedford","0.31","76"
"Black","Bexley","0.31","562"
"Black","Birmingham","0.00","1,278"
"Black","Blackburn with Darwen","-0.44","10"
"Black","Blackpool","0.32","5"
"Black","Bolton","0.56","99"
"Black","Bournemouth","0.30","4"
"Black","Bracknell Forest","0.50","17"
"Black","Bradford","0.24","73"
"Black","Brent","0.09","632"
"Black","Brighton and Hove","0.42","49"
"Black","Bristol, City of","0.06","296"
"Black","Bromley","0.34","267"
"Black","Buckinghamshire","0.34","155"
"Black","Bury","0.01","38"
"Black","Calderdale","0.58","25"
"Black","Cambridgeshire","0.24","47"
"Black","Camden","-0.05","343"
"Black","Central Bedfordshire","0.49","48"
"Black","Cheshire East","0.67","9"
"Black","Cheshire West and Chester","0.81","10"
"Black","City of London","N/A","0"
"Black","Cornwall","0.67","4"
"Black","County Durham","-0.79","6"
"Black","Coventry","0.13","261"
"Black","Croydon","-0.08","911"
"Black","Cumbria","0.07","10"
"Black","Darlington","0.46","5"
"Black","Derby","0.02","85"
"Black","Derbyshire","-0.32","26"
"Black","Devon","0.03","4"
"Black","Doncaster","0.16","25"
"Black","Dorset","0.64","3"
"Black","Dudley","-0.14","70"
"Black","Ealing","0.24","528"
"Black","East Riding of Yorkshire","0.12","3"
"Black","East Sussex","0.68","18"
"Black","Enfield","0.01","787"
"Black","Essex","0.37","351"
"Black","Gateshead","0.13","15"
"Black","Gloucestershire","-0.15","60"
"Black","Greenwich","-0.04","655"
"Black","Hackney","0.11","714"
"Black","Halton","N/A","0"
"Black","Hammersmith and Fulham","0.10","293"
"Black","Hampshire","0.23","98"
"Black","Haringey","-0.19","517"
"Black","Harrow","0.11","291"
"Black","Hartlepool","0.47","3"
"Black","Havering","0.37","330"
"Black","Herefordshire, County of","0.00","3"
"Black","Hertfordshire","0.31","457"
"Black","Hillingdon","0.22","303"
"Black","Hounslow","0.37","332"
"Black","Isle of Wight","0.81","1"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","0.04","388"
"Black","Kensington and Chelsea","-0.01","119"
"Black","Kent","0.45","318"
"Black","Kingston upon Hull, City of","0.62","23"
"Black","Kingston upon Thames","0.17","65"
"Black","Kirklees","-0.02","71"
"Black","Knowsley","0.10","1"
"Black","Lambeth","-0.23","952"
"Black","Lancashire","0.03","32"
"Black","Leeds","0.48","344"
"Black","Leicester","-0.04","320"
"Black","Leicestershire","0.34","71"
"Black","Lewisham","-0.31","833"
"Black","Lincolnshire","0.72","26"
"Black","Liverpool","-0.11","159"
"Black","Luton","-0.17","244"
"Black","Manchester","0.08","630"
"Black","Medway","0.43","113"
"Black","Merton","0.31","236"
"Black","Middlesbrough","0.60","14"
"Black","Milton Keynes","0.22","321"
"Black","Newcastle upon Tyne","0.63","67"
"Black","Newham","0.16","810"
"Black","Norfolk","0.77","64"
"Black","North East Lincolnshire","0.79","3"
"Black","North Lincolnshire","1.09","10"
"Black","North Somerset","0.28","15"
"Black","North Tyneside","-0.45","9"
"Black","North Yorkshire","0.45","21"
"Black","Northamptonshire","0.40","280"
"Black","Northumberland","1.18","4"
"Black","Nottingham","-0.09","220"
"Black","Nottinghamshire","0.29","79"
"Black","Oldham","0.26","46"
"Black","Oxfordshire","0.27","108"
"Black","Peterborough","0.17","67"
"Black","Plymouth","1.20","11"
"Black","Poole","0.08","4"
"Black","Portsmouth","0.26","36"
"Black","Reading","0.07","77"
"Black","Redbridge","0.27","473"
"Black","Redcar and Cleveland","0.82","2"
"Black","Richmond upon Thames","-0.19","54"
"Black","Rochdale","0.13","52"
"Black","Rotherham","0.39","22"
"Black","Rutland","1.24","4"
"Black","Salford","0.32","57"
"Black","Sandwell","-0.21","271"
"Black","Sefton","0.16","11"
"Black","Sheffield","0.16","195"
"Black","Shropshire","0.38","5"
"Black","Slough","0.05","127"
"Black","Solihull","-0.05","84"
"Black","Somerset","0.78","6"
"Black","South Gloucestershire","0.03","32"
"Black","South Tyneside","0.42","7"
"Black","Southampton","0.29","38"
"Black","Southend-on-Sea","0.61","118"
"Black","Southwark","0.31","990"
"Black","St. Helens","0.34","4"
