"Ethnicity","Local authority","All","Boys","Girls"
"Mixed","Nottingham","-0.55","-0.64","-0.45"
"Mixed","Nottinghamshire","0.04","-0.21","0.27"
"Mixed","Oldham","-0.58","-0.86","-0.22"
"Mixed","Oxfordshire","-0.14","-0.39","0.11"
"Mixed","Peterborough","-0.29","-0.50","-0.03"
"Mixed","Plymouth","-0.51","-0.43","-0.59"
"Mixed","Poole","0.46","0.34","0.66"
"Mixed","Portsmouth","-0.41","-0.68","0.26"
"Mixed","Reading","-0.39","-0.85","-0.02"
"Mixed","Redbridge","0.24","-0.09","0.61"
"Mixed","Redcar and Cleveland","-0.06","0.24","-0.40"
"Mixed","Richmond upon Thames","0.01","-0.26","0.29"
"Mixed","Rochdale","-0.08","-0.45","0.36"
"Mixed","Rotherham","-0.07","-0.20","0.09"
"Mixed","Rutland","0.86","1.21","0.04"
"Mixed","Salford","-0.02","-0.17","0.13"
"Mixed","Sandwell","-0.46","-0.59","-0.34"
"Mixed","Sefton","-0.07","-0.13","0.00"
"Mixed","Sheffield","-0.17","-0.60","0.25"
"Mixed","Shropshire","0.03","0.12","-0.08"
"Mixed","Slough","0.23","0.17","0.28"
"Mixed","Solihull","-0.34","-0.57","-0.14"
"Mixed","Somerset","-0.04","-0.50","0.51"
"Mixed","South Gloucestershire","-0.31","-0.81","0.20"
"Mixed","South Tyneside","-0.06","-0.60","0.63"
"Mixed","Southampton","-0.23","-0.50","0.02"
"Mixed","Southend-on-Sea","0.22","0.06","0.35"
"Mixed","Southwark","0.16","0.07","0.24"
"Mixed","St. Helens","-0.05","-0.30","0.91"
"Mixed","Staffordshire","-0.20","-0.42","-0.01"
"Mixed","Stockport","0.04","-0.15","0.26"
"Mixed","Stockton-on-Tees","0.10","-0.06","0.32"
"Mixed","Stoke-on-Trent","-0.17","-0.23","-0.09"
"Mixed","Suffolk","0.17","-0.18","0.55"
"Mixed","Sunderland","-0.35","-0.73","-0.03"
"Mixed","Surrey","0.26","-0.02","0.54"
"Mixed","Sutton","0.45","0.29","0.60"
"Mixed","Swindon","-0.39","-0.51","-0.24"
"Mixed","Tameside","-0.07","-0.29","0.17"
"Mixed","Telford and Wrekin","-0.10","-0.44","0.25"
"Mixed","Thurrock","0.13","-0.20","0.46"
"Mixed","Torbay","0.51","0.33","0.80"
"Mixed","Tower Hamlets","-0.69","-0.86","-0.46"
"Mixed","Trafford","-0.03","-0.12","0.07"
"Mixed","Wakefield","-0.03","-0.38","0.22"
"Mixed","Walsall","-0.32","-0.54","-0.16"
"Mixed","Waltham Forest","0.04","-0.30","0.37"
"Mixed","Wandsworth","0.31","-0.04","0.60"
"Mixed","Warrington","0.12","-0.04","0.29"
"Mixed","Warwickshire","0.04","-0.30","0.34"
"Mixed","West Berkshire","-0.23","-0.37","-0.04"
"Mixed","West Sussex","0.15","-0.13","0.45"
"Mixed","Westminster","0.34","0.08","0.50"
"Mixed","Wigan","-0.22","-0.52","0.15"
"Mixed","Wiltshire","0.24","0.30","0.21"
"Mixed","Windsor and Maidenhead","0.37","0.24","0.53"
"Mixed","Wirral","0.31","0.08","0.54"
"Mixed","Wokingham","0.28","-0.05","0.56"
"Mixed","Wolverhampton","-0.28","-0.44","-0.15"
"Mixed","Worcestershire","0.04","-0.30","0.48"
"Mixed","York","0.31","0.06","0.48"
"White","All - England","-0.10","-0.33","0.13"
"White","Barking and Dagenham","-0.19","-0.26","-0.11"
"White","Barnet","0.50","0.25","0.76"
"White","Barnsley","-0.17","-0.39","0.06"
"White","Bath and North East Somerset","-0.02","-0.34","0.30"
"White","Bedford","0.07","-0.14","0.29"
"White","Bexley","-0.31","-0.50","-0.11"
"White","Birmingham","-0.19","-0.47","0.10"
"White","Blackburn with Darwen","-0.41","-0.57","-0.24"
"White","Blackpool","-0.67","-0.89","-0.40"
"White","Bolton","-0.34","-0.58","-0.08"
"White","Bournemouth","0.10","-0.16","0.36"
"White","Bracknell Forest","-0.04","-0.26","0.19"
"White","Bradford","-0.25","-0.47","-0.02"
"White","Brent","0.36","0.21","0.53"
"White","Brighton and Hove","-0.08","-0.24","0.10"
"White","Bristol, City of","-0.20","-0.51","0.08"
"White","Bromley","-0.01","-0.29","0.28"
"White","Buckinghamshire","0.16","-0.05","0.39"
"White","Bury","-0.35","-0.57","-0.12"
"White","Calderdale","0.00","-0.29","0.27"
"White","Cambridgeshire","0.12","-0.10","0.35"
"White","Camden","0.10","-0.37","0.44"
"White","Central Bedfordshire","-0.16","-0.38","0.08"
"White","Cheshire East","0.00","-0.24","0.25"
"White","Cheshire West and Chester","-0.13","-0.31","0.08"
"White","City of London","N/A","N/A","N/A"
"White","Cornwall","-0.09","-0.34","0.17"
"White","County Durham","-0.21","-0.44","0.02"
"White","Coventry","-0.30","-0.53","-0.06"
"White","Croydon","0.03","-0.21","0.25"
"White","Cumbria","-0.11","-0.31","0.10"
"White","Darlington","-0.29","-0.48","-0.07"
"White","Derby","-0.29","-0.52","-0.05"
"White","Derbyshire","-0.23","-0.45","0.00"
"White","Devon","-0.13","-0.36","0.12"
"White","Doncaster","-0.25","-0.50","0.02"
"White","Dorset","0.01","-0.22","0.27"
"White","Dudley","-0.20","-0.45","0.07"
"White","Ealing","0.44","0.20","0.67"
"White","East Riding of Yorkshire","0.05","-0.20","0.30"
"White","East Sussex","-0.05","-0.32","0.25"
"White","Enfield","0.03","-0.25","0.32"
"White","Essex","-0.14","-0.38","0.11"
"White","Gateshead","-0.30","-0.54","-0.05"
"White","Gloucestershire","-0.01","-0.23","0.23"
"White","Greenwich","-0.37","-0.44","-0.29"
"White","Hackney","0.51","0.08","0.85"
"White","Halton","-0.27","-0.51","-0.02"
"White","Hammersmith and Fulham","0.39","0.13","0.67"
"White","Hampshire","-0.12","-0.34","0.12"
"White","Haringey","0.38","0.25","0.50"
"White","Harrow","0.19","0.07","0.29"
"White","Hartlepool","-0.50","-0.85","-0.15"
"White","Havering","-0.22","-0.39","-0.04"
"White","Herefordshire, County of","-0.04","-0.26","0.20"
"White","Hertfordshire","0.12","-0.11","0.36"
"White","Hillingdon","-0.23","-0.50","0.04"
"White","Hounslow","0.16","0.03","0.30"
"White","Isle of Wight","-0.38","-0.62","-0.13"
"White","Isles of Scilly","0.95","0.32","1.58"
"White","Islington","0.08","-0.04","0.20"
"White","Kensington and Chelsea","0.15","0.26","-0.07"
"White","Kent","-0.15","-0.38","0.09"
"White","Kingston upon Hull, City of","-0.06","-0.26","0.17"
"White","Kingston upon Thames","0.33","0.11","0.54"
"White","Kirklees","-0.12","-0.41","0.18"
"White","Knowsley","-0.82","-1.09","-0.54"
"White","Lambeth","0.17","-0.05","0.39"
"White","Lancashire","-0.14","-0.39","0.12"
"White","Leeds","-0.01","-0.23","0.22"
"White","Leicester","-0.63","-0.96","-0.29"
"White","Leicestershire","-0.11","-0.38","0.18"
"White","Lewisham","-0.14","-0.39","0.11"
"White","Lincolnshire","-0.17","-0.41","0.09"
"White","Liverpool","-0.39","-0.62","-0.16"
"White","Luton","-0.46","-0.63","-0.27"
"White","Manchester","-0.52","-0.72","-0.32"
"White","Medway","-0.07","-0.25","0.10"
"White","Merton","0.33","0.14","0.51"
"White","Middlesbrough","-0.36","-0.60","-0.09"
"White","Milton Keynes","-0.30","-0.54","-0.04"
"White","Newcastle upon Tyne","-0.30","-0.42","-0.17"
"White","Newham","-0.02","-0.38","0.32"
"White","Norfolk","-0.03","-0.23","0.19"
"White","North East Lincolnshire","0.02","-0.19","0.25"
"White","North Lincolnshire","0.09","-0.10","0.29"
"White","North Somerset","-0.11","-0.30","0.08"
"White","North Tyneside","-0.22","-0.44","0.01"
"White","North Yorkshire","0.12","-0.11","0.35"
"White","Northamptonshire","-0.06","-0.29","0.18"
"White","Northumberland","-0.09","-0.31","0.13"
"White","Nottingham","-0.45","-0.64","-0.26"
"White","Nottinghamshire","-0.05","-0.25","0.17"
"White","Oldham","-0.47","-0.79","-0.14"
"White","Oxfordshire","-0.02","-0.23","0.20"
"White","Peterborough","-0.28","-0.56","0.03"
"White","Plymouth","-0.35","-0.57","-0.11"
"White","Poole","0.27","0.11","0.44"
"White","Portsmouth","-0.44","-0.66","-0.17"
"White","Reading","-0.27","-0.49","-0.01"
"White","Redbridge","0.17","-0.06","0.44"
"White","Redcar and Cleveland","-0.47","-0.70","-0.23"
"White","Richmond upon Thames","0.13","-0.04","0.30"
"White","Rochdale","-0.33","-0.49","-0.16"
"White","Rotherham","-0.12","-0.36","0.12"
"White","Rutland","0.41","0.26","0.57"
"White","Salford","-0.56","-0.90","-0.23"
"White","Sandwell","-0.55","-0.70","-0.40"
"White","Sefton","-0.28","-0.46","-0.08"
"White","Sheffield","-0.07","-0.28","0.15"
"White","Shropshire","-0.09","-0.30","0.13"
"White","Slough","0.03","-0.31","0.32"
"White","Solihull","-0.18","-0.41","0.05"
"White","Somerset","-0.15","-0.40","0.11"
"White","South Gloucestershire","-0.21","-0.44","0.04"
"White","South Tyneside","-0.26","-0.48","-0.05"
"White","Southampton","-0.33","-0.53","-0.13"
"White","Southend-on-Sea","-0.01","-0.20","0.19"
"White","Southwark","0.13","-0.10","0.39"
"White","St. Helens","-0.38","-0.57","-0.17"
"White","Staffordshire","-0.14","-0.37","0.11"
"White","Stockport","-0.07","-0.33","0.20"
"White","Stockton-on-Tees","-0.14","-0.30","0.04"
"White","Stoke-on-Trent","-0.37","-0.61","-0.13"
"White","Suffolk","0.06","-0.11","0.23"
"White","Sunderland","-0.42","-0.63","-0.21"
"White","Surrey","0.13","-0.07","0.35"
"White","Sutton","0.11","-0.02","0.24"
"White","Swindon","-0.21","-0.45","0.07"
"White","Tameside","-0.28","-0.52","-0.03"
"White","Telford and Wrekin","-0.17","-0.39","0.05"
"White","Thurrock","-0.31","-0.47","-0.15"
"White","Torbay","-0.09","-0.25","0.10"
"White","Tower Hamlets","-0.55","-0.71","-0.39"
"White","Trafford","0.14","-0.03","0.33"
"White","Wakefield","-0.21","-0.41","0.00"
"White","Walsall","-0.34","-0.58","-0.09"
"White","Waltham Forest","0.11","-0.11","0.33"
"White","Wandsworth","0.39","0.24","0.55"
"White","Warrington","-0.17","-0.41","0.10"
"White","Warwickshire","0.02","-0.26","0.32"
"White","West Berkshire","0.15","-0.14","0.42"
"White","West Sussex","0.01","-0.24","0.27"
"White","Westminster","0.55","0.16","0.81"
"White","Wigan","-0.35","-0.64","-0.06"
"White","Wiltshire","-0.01","-0.25","0.24"
"White","Windsor and Maidenhead","0.24","0.03","0.45"
"White","Wirral","0.01","-0.24","0.25"
"White","Wokingham","0.29","0.07","0.51"
"White","Wolverhampton","-0.22","-0.45","0.00"
"White","Worcestershire","0.04","-0.21","0.31"
"White","York","0.08","-0.24","0.40"
