"","Apprentices","Population (2017 estimate)"
"Ethnicity","%","%"
"Asian","4.4","8.1"
"Black","3.6","3.6"
"Mixed","2.3","2.6"
"White","87.6","84.6"
"Other","0.8","1.1"
