"Ethnicity","%","Number of respondents"
"All","25","185,732"
"Asian","31","7,275"
"Black","29","975"
"Chinese","26","2,655"
"Mixed","18","2,024"
"White British","24","155,056"
"White other","23","9,709"
"Other","30","1,327"
