"Ethnicity","Time","%","Number"
"Asian","2008/09","4.3","3,775"
"Asian","2009/10","4.2","2,812"
"Asian","2010/11","4.1","1,977"
"Asian","2011/12","4.0","1,649"
"Asian","2012/13","3.8","1,157"
"Asian","2013/14","3.8","998"
"Asian","2014/15","4.2","866"
"Asian","2015/16","4.2","653"
"Asian","2016/17","4.8","585"
"Asian","2017/18","4.9","477"
"Asian","2018/19","5.2","381"
"Black","2008/09","6.6","5,867"
"Black","2009/10","6.7","4,484"
"Black","2010/11","7.1","3,429"
"Black","2011/12","7.2","2,940"
"Black","2012/13","7.2","2,179"
"Black","2013/14","7.4","1,930"
"Black","2014/15","8.8","1,809"
"Black","2015/16","9.5","1,470"
"Black","2016/17","10.8","1,317"
"Black","2017/18","11.4","1,108"
"Black","2018/19","11.0","800"
"White","2008/09","88.0","78,124"
"White","2009/10","87.8","58,689"
"White","2010/11","87.6","42,484"
"White","2011/12","88.0","36,061"
"White","2012/13","88.2","26,626"
"White","2013/14","88.0","22,872"
"White","2014/15","86.3","17,719"
"White","2015/16","85.7","13,304"
"White","2016/17","83.6","10,206"
"White","2017/18","82.9","8,090"
"White","2018/19","83.1","6,065"
"Other inc Mixed","2008/09","1.2","1,040"
"Other inc Mixed","2009/10","1.3","839"
"Other inc Mixed","2010/11","1.2","593"
"Other inc Mixed","2011/12","0.8","315"
"Other inc Mixed","2012/13","0.8","233"
"Other inc Mixed","2013/14","0.7","190"
"Other inc Mixed","2014/15","0.7","137"
"Other inc Mixed","2015/16","0.6","92"
"Other inc Mixed","2016/17","0.8","97"
"Other inc Mixed","2017/18","0.9","87"
"Other inc Mixed","2018/19","0.8","55"
"Unknown","2008/09","N/A","4,850"
"Unknown","2009/10","N/A","3,910"
"Unknown","2010/11","N/A","2,131"
"Unknown","2011/12","N/A","1,248"
"Unknown","2012/13","N/A","1,056"
"Unknown","2013/14","N/A","1,025"
"Unknown","2014/15","N/A","1,210"
"Unknown","2015/16","N/A","1,323"
"Unknown","2016/17","N/A","1,374"
"Unknown","2017/18","N/A","1,289"
"Unknown","2018/19","N/A","1,251"
