"","2012","2013","2014","2015","2016","2017","2018","2019"
"Ethnicity","%","%","%","%","%","%","%","%"
"All","19.3","18.4","17.8","16.9","15.5","14.9","14.4","13.9"
"Asian","10.8","10.8","10.8","10.0","9.4","9.3","9.1","8.3"
"Black","13.0","12.0","13.5","11.3","10.3","10.4","11.0","9.7"
"Chinese","11.5","10.0","10.9","12.2","7.4","8.6","7.7","6.7"
"Mixed","24.9","25.5","24.4","22.4","20.8","20.5","20.4","19.5"
"White","20.1","19.2","18.5","17.6","16.2","15.4","15.0","14.4"
"Other","18.3","16.3","16.8","16.7","14.6","16.5","15.5","15.6"
