"Ethnicity","%","Survey respondents"
"All","13.9","146,897"
"Asian","8.3","9,514"
"Black","9.7","4,013"
"Chinese","6.7","636"
"Mixed","19.5","1,318"
"White","14.4","129,195"
"Other","15.6","2,155"
