"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Region","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"All","6.6","23,190","3.4","11,990","0.3","1,080","1.8","6,140","87.3","304,850","0.6","1,980"
"North East","1.2","270","0.4","90","0.2","40","0.7","160","97.4","22,740","0.2","40"
"North West","4.4","1,910","1.2","510","0.3","140","1.3","550","92.6","40,630","0.3","150"
"Yorkshire and The Humber","6.6","1,820","1.4","390","0.2","50","1.2","340","90.2","24,690","0.3","90"
"East Midlands","8.9","1,390","2.4","380","0.1","20","1.6","250","86.6","13,560","0.3","50"
"West Midlands","14.6","3,240","4.2","930","0.2","40","1.7","390","78.8","17,550","0.5","110"
"East","4.9","830","2.4","400","0.3","40","1.5","250","90.4","15,460","0.6","110"
"London","16.3","11,220","11.6","7,970","0.7","490","3.7","2,530","66.4","45,700","1.3","890"
"South East","3.4","1,040","1.8","560","0.3","90","1.6","490","92.4","28,420","0.5","160"
"South West","1.7","540","1.2","380","0.1","50","1.3","410","95.3","30,550","0.4","140"
"Wales","1.1","310","0.5","150","0.2","50","1.5","420","96.3","27,010","0.3","90"
"Scotland","1.2","400","0.5","150","0.1","40","0.6","200","97.2","31,790","0.4","120"
"Northern Ireland","0.2","10","!","!","!","!","0.6","20","98.9","3,040","0.2","10"
"Unknown","N/A","60","N/A","10","N/A","-","N/A","20","N/A","840","N/A","!"
