"","2015","","2016","","2017","","2018","","2019",""
"Ethnicity","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Asian","5.4","18,560","5.8","18,690","6.2","19,780","6.4","20,470","6.6","23,190"
"Black","3.0","10,210","3.1","9,950","3.2","10,230","3.2","10,350","3.4","11,990"
"Chinese","0.3","890","0.3","880","0.3","910","0.3","960","0.3","1,080"
"Mixed","1.3","4,410","1.4","4,460","1.5","4,740","1.5","4,950","1.8","6,140"
"White","89.4","305,550","88.8","284,140","88.4","283,740","88.0","283,300","87.3","304,850"
"Other","0.6","2,040","0.5","1,710","0.5","1,750","0.5","1,740","0.6","1,980"
"Unknown","N/A","97,670","N/A","98,510","N/A","98,250","N/A","108,310","N/A","96,260"
