"Ethnicity","Grade","%","Headcount"
"Asian","Administrative officers and assistants","7.0","7,560"
"Asian","Executive officer","7.8","7,280"
"Asian","Senior and higher executive officer","6.1","5,580"
"Asian","Grades 6 & 7","4.9","2,010"
"Asian","Senior Civil Service Level","4.2","210"
"Asian","Unknown","N/A","540"
"Black","Administrative officers and assistants","3.4","3,700"
"Black","Executive officer","4.2","3,910"
"Black","Senior and higher executive officer","3.1","2,860"
"Black","Grades 6 & 7","2.0","830"
"Black","Senior Civil Service Level","1.3","70"
"Black","Unknown","N/A","620"
"Chinese","Administrative officers and assistants","0.3","290"
"Chinese","Executive officer","0.3","250"
"Chinese","Senior and higher executive officer","0.4","350"
"Chinese","Grades 6 & 7","0.4","160"
"Chinese","Senior Civil Service Level","0.3","20"
"Chinese","Unknown","N/A","20"
"Mixed","Administrative officers and assistants","1.5","1,590"
"Mixed","Executive officer","1.6","1,520"
"Mixed","Senior and higher executive officer","1.9","1,740"
"Mixed","Grades 6 & 7","2.3","920"
"Mixed","Senior Civil Service Level","1.7","90"
"Mixed","Unknown","N/A","290"
"White","Administrative officers and assistants","87.4","94,840"
"White","Executive officer","85.5","79,440"
"White","Senior and higher executive officer","87.9","80,310"
"White","Grades 6 & 7","89.7","36,490"
"White","Senior Civil Service Level","91.9","4,550"
"White","Unknown","N/A","9,230"
"Other","Administrative officers and assistants","0.5","540"
"Other","Executive officer","0.6","530"
"Other","Senior and higher executive officer","0.6","550"
"Other","Grades 6 & 7","0.7","290"
"Other","Senior Civil Service Level","0.5","20"
"Other","Unknown","N/A","50"
