"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Low","8835","30.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Medium","8405","29.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","High","10260","35.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Other","1105","3.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Total","28605","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Low","8690","29.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Medium","9770","33","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","High","9930","33.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Other","1190","4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Total","29580","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Low","3940","37.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Medium","3255","31","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2014/15","High","2950","28.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Other","340","3.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Total","10490","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Low","4115","37","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Medium","3560","32","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2015/16","High","3115","28","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Other","330","3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Total","11115","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Low","4240","35.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Medium","3955","32.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2016/17","High","3555","29.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Other","320","2.7","Ethnicity denom"
