"","High","","Medium","","Low","","Other","","All Tariffs",""
"Ethnicity","%","Number of entrants","%","Number of entrants","%","Number of entrants","%","Number of entrants","%","Number of entrants"
"Asian","9.6","23,810","14.2","34,295","9.8","22,200","4.1","1,840","10.8","82,145"
"Black","3.8","9,485","8.8","21,365","11.4","25,680","3.7","1,650","7.6","58,180"
"Mixed","4.0","9,930","4.0","9,770","3.9","8,690","2.6","1,190","3.9","29,580"
"White","81.2","201,995","70.8","171,045","73.2","165,155","88.8","39,960","76.0","578,155"
"Other","1.4","3,500","2.1","5,015","1.7","3,940","0.8","380","1.7","12,835"
"Unknown","N/A","6,025","N/A","4,060","N/A","3,630","N/A","1,050","N/A","14,765"
