"","Asian","","Black","","Mixed","","White","","Other",""
"Year","%","Number","%","Number","%","Number","%","Number","%","Number"
"2011/12","8.4","346,860","6.5","267,800","2.5","103,840","80.7","3,342,040","1.9","78,230"
"2012/13","8.1","340,210","6.5","272,870","2.6","111,700","81.0","3,420,430","1.9","80,140"
"2013/14","8.0","306,900","6.3","242,300","2.8","106,660","80.9","3,095,990","1.9","74,580"
"2014/15","8.2","289,230","6.5","228,440","2.9","102,010","80.3","2,821,900","2.0","71,980"
"2015/16","8.5","271,500","6.5","206,750","3.0","95,240","80.0","2,559,790","2.1","68,330"
"2016/17","8.8","271,760","6.7","206,600","3.1","94,650","79.1","2,448,260","2.4","72,720"
"2017/18","9.2","276,510","6.8","202,730","3.2","95,450","78.3","2,350,680","2.6","77,630"
"2018/19","9.6","276,260","6.8","195,620","3.4","96,650","77.3","2,214,220","2.8","81,600"
