"Ethnicity","Region","%"
"All","All","84"
"All","London","78"
"All","Midlands & East","85"
"All","North","86"
"All","South","87"
"White","All","87"
"White","London","84"
"White","Midlands & East","86"
"White","North","87"
"White","South","88"
"Other","All","72"
"Other","London","68"
"Other","Midlands & East","73"
"Other","North","74"
"Other","South","77"
