"Measure","Academic Year","Ethnicity ","Ethicity Type","Value","Value_type","Numerator ","Denominator"
"First year enrolments onto undergraduate degrees","2007/08","Asian","ONS 5+1 2011","8","%","52745","663365"
"First year enrolments onto undergraduate degrees","2007/08","Black","ONS 5+1 2011","5.8","%","38735","663365"
"First year enrolments onto undergraduate degrees","2007/08","Mixed ","ONS 5+1 2011","2.4","%","15980","663365"
"First year enrolments onto undergraduate degrees","2007/08","White","ONS 5+1 2011","82.8","%","549365","663365"
"First year enrolments onto undergraduate degrees","2007/08","Other","ONS 5+1 2011","1","%","6540","663365"
"First year enrolments onto undergraduate degrees","2008/09","Asian","ONS 5+1 2011","8.1","%","57165","708765"
"First year enrolments onto undergraduate degrees","2008/09","Black","ONS 5+1 2011","6.2","%","43975","708765"
"First year enrolments onto undergraduate degrees","2008/09","Mixed ","ONS 5+1 2011","2.6","%","18280","708765"
"First year enrolments onto undergraduate degrees","2008/09","White","ONS 5+1 2011","82.2","%","582495","708765"
"First year enrolments onto undergraduate degrees","2008/09","Other","ONS 5+1 2011","1","%","6850","708765"
"First year enrolments onto undergraduate degrees","2009/10","Asian","ONS 5+1 2011","7.9","%","57265","721165"
"First year enrolments onto undergraduate degrees","2009/10","Black","ONS 5+1 2011","6.3","%","45465","721165"
"First year enrolments onto undergraduate degrees","2009/10","Mixed ","ONS 5+1 2011","2.7","%","19125","721165"
"First year enrolments onto undergraduate degrees","2009/10","White","ONS 5+1 2011","82.1","%","592095","721165"
"First year enrolments onto undergraduate degrees","2009/10","Other","ONS 5+1 2011","1","%","7220","721165"
"First year enrolments onto undergraduate degrees","2010/11","Asian","ONS 5+1 2011","8.1","%","55955","687590"
"First year enrolments onto undergraduate degrees","2010/11","Black","ONS 5+1 2011","6.3","%","43165","687590"
"First year enrolments onto undergraduate degrees","2010/11","Mixed ","ONS 5+1 2011","2.8","%","19515","687590"
"First year enrolments onto undergraduate degrees","2010/11","White","ONS 5+1 2011","81.8","%","562385","687590"
"First year enrolments onto undergraduate degrees","2010/11","Other","ONS 5+1 2011","1","%","6575","687590"
"First year enrolments onto undergraduate degrees","2011/12","Asian","ONS 5+1 2011","8.3","%","56125","678055"
"First year enrolments onto undergraduate degrees","2011/12","Black","ONS 5+1 2011","6.3","%","42660","678055"
"First year enrolments onto undergraduate degrees","2011/12","Mixed ","ONS 5+1 2011","3","%","20500","678055"
