"Ethnicity","Local Authority","Girls","Boys"
"White","Barnsley","78","62"
"White","Bradford","73","61"
"White","Calderdale","77","67"
"White","Doncaster","79","61"
"White","East Riding of Yorkshire","78","68"
"White","Kingston Upon Hull, City of","69","55"
"White","Kirklees","77","65"
"White","Leeds","74","60"
"White","North East Lincolnshire","76","63"
"White","North Lincolnshire","79","60"
"White","North Yorkshire","79","64"
"White","Rotherham","80","65"
"White","Sheffield","78","65"
"White","Wakefield","77","60"
"White","York","82","68"
"White","East Midlands","76","62"
"White","Derby","79","59"
"White","Derbyshire","78","62"
"White","Leicester","71","51"
"White","Leicestershire","76","64"
"White","Lincolnshire","75","61"
"White","Northamptonshire","78","62"
"White","Nottingham","70","61"
"White","Nottinghamshire","77","62"
"White","Rutland","78","69"
"White","West Midlands","77","63"
"White","Birmingham","75","61"
"White","Coventry","73","60"
"White","Dudley","75","59"
"White","Herefordshire","82","68"
"White","Sandwell","73","58"
"White","Shropshire","78","62"
"White","Solihull","79","64"
"White","Staffordshire","82","67"
"White","Stoke-on-Trent","74","59"
"White","Telford and Wrekin","78","64"
"White","Walsall","73","59"
"White","Warwickshire","79","65"
"White","Wolverhampton","72","58"
"White","Worcestershire","79","63"
"White","East of England","79","65"
"White","Bedford","75","66"
"White","Cambridgeshire","77","62"
"White","Central Bedfordshire","80","66"
"White","Essex","80","67"
"White","Hertfordshire","79","66"
"White","Luton","77","52"
"White","Norfolk","78","63"
"White","Peterborough","74","56"
"White","Southend-on-Sea","81","67"
"White","Suffolk","78","64"
"White","Thurrock","81","65"
"White","Inner London","83","72"
"White","Camden","77","71"
"White","City of London","-","-"
"White","Hackney","84","72"
"White","Hammersmith and Fulham","85","76"
"White","Haringey","82","71"
"White","Islington","76","63"
"White","Kensington and Chelsea","81","70"
"White","Lambeth","82","71"
"White","Lewisham","89","76"
"White","Newham","84","65"
"White","Southwark","84","75"
"White","Tower Hamlets","75","63"
"White","Wandsworth","86","76"
"White","Westminster","81","71"
"White","Outer London","80","67"
"White","Barking and Dagenham","74","60"
"White","Barnet","83","69"
"White","Bexley","83","68"
"White","Brent","76","62"
"White","Bromley","83","71"
"White","Croydon","83","65"
"White","Ealing","82","66"
"White","Enfield","74","59"
"White","Greenwich","82","70"
"White","Harrow","76","62"
"White","Havering","77","65"
"White","Hillingdon","78","61"
"White","Hounslow","76","63"
"White","Kingston upon Thames","84","74"
"White","Merton","80","68"
"White","Redbridge","76","65"
"White","Richmond upon Thames","87","79"
"White","Sutton","77","65"
"White","Waltham Forest","82","71"
"White","South East","81","68"
"White","Bracknell Forest","81","68"
"White","Brighton and Hove","82","66"
"White","Buckinghamshire","82","69"
"White","East Sussex","82","71"
"White","Hampshire","83","70"
"White","Isle of Wight","80","65"
"White","Kent","81","68"
"White","Medway","79","64"
"White","Milton Keynes","80","67"
"White","Oxfordshire","80","69"
"White","Portsmouth","78","64"
"White","Reading","78","61"
"White","Slough","72","57"
"White","Southampton","80","62"
"White","Surrey","85","73"
"White","West Berkshire","80","69"
"White","West Sussex","78","64"
"White","Windsor and Maidenhead","81","69"
"White","Wokingham","81","69"
"White","South West","78","64"
"White","Bath and North East Somerset","78","66"
"White","Bournemouth","85","70"
"White","Bristol, City of","77","66"
"White","Cornwall","75","60"
"White","Devon","79","64"
"White","Dorset","78","63"
"White","Gloucestershire","75","63"
"White","Isles of Scilly","-","100"
"White","North Somerset","81","70"
"White","Plymouth","74","61"
"White","Poole","81","67"
"White","Somerset","79","65"
"White","South Gloucestershire","82","71"
"White","Swindon","77","61"
"White","Torbay","78","63"
"White","Wiltshire","80","64"
