"Ethnicity","Local Authority","Girls","Boys"
"Asian","Oldham","60","44"
"Asian","Rochdale","71","52"
"Asian","Salford","71","53"
"Asian","Sefton","-","-"
"Asian","St. Helens","60","75"
"Asian","Stockport","61","46"
"Asian","Tameside","62","56"
"Asian","Trafford","73","64"
"Asian","Warrington","75","73"
"Asian","Wigan","64","47"
"Asian","Wirral","72","55"
"Asian","Yorkshire and the Humber","71","55"
"Asian","Barnsley","-","-"
"Asian","Bradford","72","56"
"Asian","Calderdale","65","50"
"Asian","Doncaster","71","65"
"Asian","East Riding of Yorkshire","-","100"
"Asian","Kingston Upon Hull, City of","66","46"
"Asian","Kirklees","71","54"
"Asian","Leeds","68","52"
"Asian","North East Lincolnshire","80","58"
"Asian","North Lincolnshire","77","63"
"Asian","North Yorkshire","73","52"
"Asian","Rotherham","73","65"
"Asian","Sheffield","73","60"
"Asian","Wakefield","67","48"
"Asian","York","88","65"
"Asian","East Midlands","76","62"
"Asian","Derby","77","59"
"Asian","Derbyshire","77","55"
"Asian","Leicester","77","65"
"Asian","Leicestershire","84","64"
"Asian","Lincolnshire","-","-"
"Asian","Northamptonshire","71","60"
"Asian","Nottingham","71","59"
"Asian","Nottinghamshire","74","60"
"Asian","Rutland","-","-"
"Asian","West Midlands","74","58"
"Asian","Birmingham","73","58"
"Asian","Coventry","79","62"
"Asian","Dudley","69","51"
"Asian","Herefordshire","-","-"
"Asian","Sandwell","71","56"
"Asian","Shropshire","62","38"
"Asian","Solihull","77","64"
"Asian","Staffordshire","81","56"
"Asian","Stoke-on-Trent","73","48"
"Asian","Telford and Wrekin","70","57"
"Asian","Walsall","73","61"
"Asian","Warwickshire","81","58"
"Asian","Wolverhampton","76","63"
"Asian","Worcestershire","71","46"
"Asian","East of England","76","61"
"Asian","Bedford","67","58"
"Asian","Cambridgeshire","81","55"
"Asian","Central Bedfordshire","76","69"
"Asian","Essex","85","64"
"Asian","Hertfordshire","75","62"
"Asian","Luton","75","62"
"Asian","Norfolk","80","62"
"Asian","Peterborough","69","56"
"Asian","Southend-on-Sea","81","68"
"Asian","Suffolk","76","63"
"Asian","Thurrock","82","70"
"Asian","Inner London","79","64"
"Asian","Camden","74","58"
"Asian","City of London","-","-"
"Asian","Hackney","81","69"
"Asian","Hammersmith and Fulham","80","71"
"Asian","Haringey","80","62"
"Asian","Islington","77","60"
"Asian","Kensington and Chelsea","75","36"
"Asian","Lambeth","76","65"
"Asian","Lewisham","80","68"
"Asian","Newham","82","68"
"Asian","Southwark","84","66"
"Asian","Tower Hamlets","75","60"
"Asian","Wandsworth","75","63"
"Asian","Westminster","78","63"
"Asian","Outer London","82","69"
"Asian","Barking and Dagenham","79","65"
"Asian","Barnet","86","69"
"Asian","Bexley","86","71"
