"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","Value","Value","Value","Value","Value","Value"
"Kent","74","74","79","83","78","75"
"Kingston Upon Hull, City of","61","56","67","-","64","62"
"Kingston upon Thames","76","68","64","89","80","79"
"Kirklees","68","62","71","53","66","71"
"Knowsley","67","52","-","100","66","68"
"Lambeth","70","71","67","84","68","76"
"Lancashire","68","59","63","59","67","70"
"Leeds","64","59","60","68","66","67"
"Leicester","64","71","63","65","69","61"
"Leicestershire","70","73","69","74","71","70"
"Lewisham","77","74","73","79","81","82"
"Lincolnshire","68","78","76","70","70","68"
"Liverpool","65","62","60","65","65","66"
"Luton","66","68","72","56","68","64"
"Manchester","65","63","67","71","67","67"
"Medway","71","69","72","73","70","72"
"Merton","73","71","67","83","75","74"
"Middlesbrough","62","60","66","100","64","64"
"Milton Keynes","72","75","67","77","77","73"
"Newcastle upon Tyne","70","64","57","85","70","72"
"Newham","74","75","74","84","78","74"
"Norfolk","70","69","62","75","68","71"
"North East Lincolnshire","69","70","-","-","69","70"
"North Lincolnshire","69","71","64","-","75","69"
"North Somerset","75","77","43","-","69","76"
"North Tyneside","71","66","-","60","67","72"
"North Yorkshire","71","64","52","-","75","72"
"Northamptonshire","69","66","68","70","71","70"
"Northumberland","74","73","-","77","84","74"
"Nottingham","65","65","68","71","66","66"
"Nottinghamshire","68","66","69","80","71","69"
"Oldham","61","52","67","63","62","68"
"Oxfordshire","72","63","69","83","73","74"
"Peterborough","63","62","59","-","68","65"
"Plymouth","67","72","69","53","68","68"
"Poole","74","79","-","-","72","74"
"Portsmouth","70","69","64","81","72","71"
"Reading","69","71","70","100","69","70"
"Redbridge","74","78","66","70","74","70"
"Redcar and Cleveland","70","56","-",".","81","70"
"Richmond upon Thames","80","74","61","77","81","83"
"Rochdale","64","62","58","60","67","66"
"Rotherham","72","69","63","-","71","73"
"Rutland","72","100","-","-","70","73"
"Salford","65","62","68","50","71","68"
"Sandwell","64","63","63","54","67","66"
"Sefton","70","59","67","-","64","70"
"Sheffield","70","67","73","86","67","71"
"Shropshire","69","50","-","55","69","70"
"Slough","72","76","73","-","74","64"
"Solihull","70","69","65","68","61","72"
"Somerset","71","67","59","60","75","72"
"South Gloucestershire","76","78","80","83","76","77"
"South Tyneside","71","51","57","100","73","72"
"Southampton","70","73","67","83","73","70"
"Southend-on-Sea","73","76","73","63","71","74"
"Southwark","74","75","71","84","74","79"
"St. Helens","68","68","-","-","75","68"
"Staffordshire","74","68","71","72","70","74"
"Stockport","68","53","62","71","66","71"
"Stockton-on-Tees","69","56","59","54","70","70"
"Stoke-on-Trent","64","60","66","79","69","66"
"Suffolk","70","70","66","-","71","71"
"Sunderland","71","57","71","56","78","71"
"Surrey","78","75","65","86","80","79"
"Sutton","71","72","69","85","70","71"
"Swindon","69","72","72","-","70","69"
"Tameside","63","59","57","67","68","64"
"Telford and Wrekin","70","63","70","-","72","70"
"Thurrock","73","76","72","-","75","73"
"Torbay","70","45","-","-","63","70"
"Tower Hamlets","67","67","64","73","74","69"
"Trafford","74","68","62","77","77","76"
"Wakefield","68","57","66","-","72","68"
"Walsall","66","66","73","-","68","66"
"Waltham Forest","74","74","71","74","78","76"
"Wandsworth","76","69","69","74","77","81"
"Warrington","72","74","68","82","70","73"
"Warwickshire","71","68","68","81","72","72"
"West Berkshire","74","71","64","-","80","74"
"West Sussex","70","68","60","84","71","71"
"Westminster","71","71","68","-","77","76"
"Wigan","67","59","51","67","66","67"
"Wiltshire","71","68","76","-","68","72"
"Windsor and Maidenhead","73","73","65","100","72","75"
"Wirral","68","65","70","77","65","69"
"Wokingham","74","74","72","81","75","75"
"Wolverhampton","66","69","65","65","68","65"
"Worcestershire","70","57","65","50","69","71"
"York","74","78","43","57","69","75"
