"Ethnicity","Local authority","Value"
"All","All- England","70"
"All","Barking and Dagenham","69"
"All","Barnet","73"
"All","Barnsley","69"
"All","Bath and North East Somerset","71"
"All","Bedford","67"
"All","Bexley","75"
"All","Birmingham","66"
"All","Blackburn with Darwen","64"
"All","Blackpool","67"
"All","Bolton","66"
"All","Bournemouth","76"
"All","Bracknell Forest","75"
"All","Bradford","65"
"All","Brent","69"
"All","Brighton and Hove","72"
"All","Bristol, City of","68"
"All","Bromley","77"
"All","Buckinghamshire","73"
"All","Bury","70"
"All","Calderdale","69"
"All","Cambridgeshire","69"
"All","Camden","70"
"All","Central Bedfordshire","72"
"All","Cheshire East","71"
"All","Cheshire West and Chester","71"
"All","City of London","79"
"All","Cornwall","67"
"All","Coventry","67"
"All","Croydon","72"
"All","Cumbria","69"
"All","Darlington","71"
"All","Derby","68"
"All","Derbyshire","69"
"All","Devon","71"
"All","Doncaster","69"
"All","Dorset","70"
"All","Dudley","64"
"All","Durham","71"
"All","Ealing","71"
"All","East Riding of Yorkshire","72"
"All","East Sussex","76"
"All","Enfield","68"
"All","Essex","73"
"All","Gateshead","69"
"All","Gloucestershire","68"
"All","Greenwich","77"
"All","Hackney","69"
"All","Halton","63"
"All","Hammersmith and Fulham","74"
"All","Hampshire","76"
"All","Haringey","75"
"All","Harrow","72"
"All","Hartlepool","68"
"All","Havering","71"
"All","Herefordshire","74"
"All","Hertfordshire","72"
"All","Hillingdon","72"
"All","Hounslow","70"
"All","Isle of Wight","72"
"All","Isles of Scilly","-"
"All","Islington","68"
"All","Kensington and Chelsea","69"
"All","Kent","74"
"All","Kingston Upon Hull, City of","61"
"All","Kingston upon Thames","76"
"All","Kirklees","68"
"All","Knowsley","67"
"All","Lambeth","70"
"All","Lancashire","68"
"All","Leeds","64"
"All","Leicester","64"
"All","Leicestershire","70"
"All","Lewisham","77"
"All","Lincolnshire","68"
"All","Liverpool","65"
"All","Luton","66"
"All","Manchester","65"
"All","Medway","71"
"All","Merton","73"
"All","Middlesbrough","62"
"All","Milton Keynes","72"
"All","Newcastle upon Tyne","70"
"All","Newham","74"
"All","Norfolk","70"
"All","North East Lincolnshire","69"
"All","North Lincolnshire","69"
"All","North Somerset","75"
"All","North Tyneside","71"
"All","North Yorkshire","71"
"All","Northamptonshire","69"
"All","Northumberland","74"
"All","Nottingham","65"
"All","Nottinghamshire","68"
"All","Oldham","61"
"All","Oxfordshire","72"
"All","Peterborough","63"
"All","Plymouth","67"
"All","Poole","74"
"All","Portsmouth","70"
"All","Reading","69"
"All","Redbridge","74"
"All","Redcar and Cleveland","70"
"All","Richmond upon Thames","80"
"All","Rochdale","64"
"All","Rotherham","72"
"All","Rutland","72"
"All","Salford","65"
"All","Sandwell","64"
"All","Sefton","70"
"All","Sheffield","70"
"All","Shropshire","69"
"All","Slough","72"
"All","Solihull","70"
"All","Somerset","71"
"All","South Gloucestershire","76"
"All","South Tyneside","71"
"All","Southampton","70"
"All","Southend-on-Sea","73"
"All","Southwark","74"
"All","St. Helens","68"
"All","Staffordshire","74"
"All","Stockport","68"
"All","Stockton-on-Tees","69"
"All","Stoke-on-Trent","64"
"All","Suffolk","70"
"All","Sunderland","71"
"All","Surrey","78"
"All","Sutton","71"
"All","Swindon","69"
"All","Tameside","63"
"All","Telford and Wrekin","70"
"All","Thurrock","73"
"All","Torbay","70"
"All","Tower Hamlets","67"
"All","Trafford","74"
"All","Wakefield","68"
"All","Walsall","66"
"All","Waltham Forest","74"
"All","Wandsworth","76"
"All","Warrington","72"
"All","Warwickshire","71"
"All","West Berkshire","74"
"All","West Sussex","70"
"All","Westminster","71"
"All","Wigan","67"
"All","Wiltshire","71"
"All","Windsor and Maidenhead","73"
"All","Wirral","68"
"All","Wokingham","74"
"All","Wolverhampton","66"
"All","Worcestershire","70"
"All","York","74"
"Asian","All- England","68"
"Asian","Barking and Dagenham","72"
"Asian","Barnet","78"
"Asian","Barnsley","82"
"Asian","Bath and North East Somerset","63"
"Asian","Bedford","63"
"Asian","Bexley","78"
"Asian","Birmingham","65"
"Asian","Blackburn with Darwen","63"
"Asian","Blackpool","69"
"Asian","Bolton","66"
"Asian","Bournemouth","81"
"Asian","Bracknell Forest","79"
"Asian","Bradford","64"
"Asian","Brent","74"
"Asian","Brighton and Hove","52"
"Asian","Bristol, City of","57"
"Asian","Bromley","83"
"Asian","Buckinghamshire","62"
"Asian","Bury","64"
"Asian","Calderdale","57"
"Asian","Cambridgeshire","68"
"Asian","Camden","66"
"Asian","Central Bedfordshire","71"
"Asian","Cheshire East","71"
"Asian","Cheshire West and Chester","56"
"Asian","City of London","75"
"Asian","Cornwall","56"
"Asian","Coventry","70"
"Asian","Croydon","72"
"Asian","Cumbria","62"
"Asian","Darlington","76"
"Asian","Derby","67"
"Asian","Derbyshire","67"
"Asian","Devon","65"
"Asian","Doncaster","68"
"Asian","Dorset","47"
"Asian","Dudley","59"
"Asian","Durham","68"
"Asian","Ealing","73"
"Asian","East Riding of Yorkshire","-"
"Asian","East Sussex","71"
"Asian","Enfield","76"
"Asian","Essex","74"
"Asian","Gateshead","75"
"Asian","Gloucestershire","61"
"Asian","Greenwich","77"
"Asian","Hackney","75"
"Asian","Halton","-"
"Asian","Hammersmith and Fulham","75"
"Asian","Hampshire","70"
"Asian","Haringey","72"
"Asian","Harrow","79"
"Asian","Hartlepool","65"
"Asian","Havering","74"
"Asian","Herefordshire","71"
"Asian","Hertfordshire","69"
"Asian","Hillingdon","77"
"Asian","Hounslow","75"
"Asian","Isle of Wight","79"
"Asian","Isles of Scilly","."
"Asian","Islington","68"
"Asian","Kensington and Chelsea","61"
"Asian","Kent","74"
"Asian","Kingston Upon Hull, City of","56"
"Asian","Kingston upon Thames","68"
"Asian","Kirklees","62"
"Asian","Knowsley","52"
"Asian","Lambeth","71"
"Asian","Lancashire","59"
"Asian","Leeds","59"
"Asian","Leicester","71"
"Asian","Leicestershire","73"
"Asian","Lewisham","74"
"Asian","Lincolnshire","78"
"Asian","Liverpool","62"
"Asian","Luton","68"
"Asian","Manchester","63"
"Asian","Medway","69"
"Asian","Merton","71"
"Asian","Middlesbrough","60"
"Asian","Milton Keynes","75"
"Asian","Newcastle upon Tyne","64"
"Asian","Newham","75"
"Asian","Norfolk","69"
"Asian","North East Lincolnshire","70"
"Asian","North Lincolnshire","71"
"Asian","North Somerset","77"
"Asian","North Tyneside","66"
"Asian","North Yorkshire","64"
"Asian","Northamptonshire","66"
"Asian","Northumberland","73"
"Asian","Nottingham","65"
"Asian","Nottinghamshire","66"
"Asian","Oldham","52"
"Asian","Oxfordshire","63"
"Asian","Peterborough","62"
"Asian","Plymouth","72"
"Asian","Poole","79"
"Asian","Portsmouth","69"
"Asian","Reading","71"
"Asian","Redbridge","78"
"Asian","Redcar and Cleveland","56"
"Asian","Richmond upon Thames","74"
"Asian","Rochdale","62"
"Asian","Rotherham","69"
"Asian","Rutland","100"
"Asian","Salford","62"
"Asian","Sandwell","63"
"Asian","Sefton","59"
"Asian","Sheffield","67"
"Asian","Shropshire","50"
"Asian","Slough","76"
"Asian","Solihull","69"
"Asian","Somerset","67"
"Asian","South Gloucestershire","78"
"Asian","South Tyneside","51"
"Asian","Southampton","73"
"Asian","Southend-on-Sea","76"
"Asian","Southwark","75"
"Asian","St. Helens","68"
"Asian","Staffordshire","68"
"Asian","Stockport","53"
"Asian","Stockton-on-Tees","56"
"Asian","Stoke-on-Trent","60"
"Asian","Suffolk","70"
"Asian","Sunderland","57"
"Asian","Surrey","75"
"Asian","Sutton","72"
"Asian","Swindon","72"
"Asian","Tameside","59"
"Asian","Telford and Wrekin","63"
"Asian","Thurrock","76"
"Asian","Torbay","45"
"Asian","Tower Hamlets","67"
"Asian","Trafford","68"
"Asian","Wakefield","57"
"Asian","Walsall","66"
"Asian","Waltham Forest","74"
"Asian","Wandsworth","69"
"Asian","Warrington","74"
"Asian","Warwickshire","68"
"Asian","West Berkshire","71"
"Asian","West Sussex","68"
"Asian","Westminster","71"
"Asian","Wigan","59"
"Asian","Wiltshire","68"
"Asian","Windsor and Maidenhead","73"
"Asian","Wirral","65"
"Asian","Wokingham","74"
"Asian","Wolverhampton","69"
"Asian","Worcestershire","57"
"Asian","York","78"
"Black","All- England","68"
"Black","Barking and Dagenham","70"
"Black","Barnet","65"
"Black","Barnsley","57"
"Black","Bath and North East Somerset","64"
"Black","Bedford","65"
"Black","Bexley","75"
"Black","Birmingham","65"
"Black","Blackburn with Darwen","73"
"Black","Blackpool","50"
"Black","Bolton","54"
"Black","Bournemouth","-"
"Black","Bracknell Forest","75"
"Black","Bradford","64"
"Black","Brent","67"
"Black","Brighton and Hove","63"
"Black","Bristol, City of","56"
"Black","Bromley","69"
"Black","Buckinghamshire","67"
"Black","Bury","57"
"Black","Calderdale","79"
"Black","Cambridgeshire","58"
"Black","Camden","61"
"Black","Central Bedfordshire","65"
"Black","Cheshire East","75"
"Black","Cheshire West and Chester","72"
"Black","City of London","."
"Black","Cornwall","-"
"Black","Coventry","72"
"Black","Croydon","68"
"Black","Cumbria","-"
"Black","Darlington","43"
"Black","Derby","73"
"Black","Derbyshire","81"
"Black","Devon","-"
"Black","Doncaster","61"
"Black","Dorset","48"
"Black","Dudley","43"
"Black","Durham","-"
"Black","Ealing","67"
"Black","East Riding of Yorkshire","-"
"Black","East Sussex","81"
"Black","Enfield","66"
"Black","Essex","69"
"Black","Gateshead","80"
"Black","Gloucestershire","56"
"Black","Greenwich","81"
"Black","Hackney","73"
"Black","Halton","-"
"Black","Hammersmith and Fulham","71"
"Black","Hampshire","77"
"Black","Haringey","76"
"Black","Harrow","59"
"Black","Hartlepool","-"
"Black","Havering","68"
"Black","Herefordshire","-"
"Black","Hertfordshire","63"
"Black","Hillingdon","69"
"Black","Hounslow","66"
"Black","Isle of Wight","-"
"Black","Isles of Scilly","."
"Black","Islington","67"
"Black","Kensington and Chelsea","66"
"Black","Kent","79"
"Black","Kingston Upon Hull, City of","67"
"Black","Kingston upon Thames","64"
"Black","Kirklees","71"
"Black","Knowsley","-"
"Black","Lambeth","67"
"Black","Lancashire","63"
"Black","Leeds","60"
"Black","Leicester","63"
"Black","Leicestershire","69"
"Black","Lewisham","73"
"Black","Lincolnshire","76"
"Black","Liverpool","60"
"Black","Luton","72"
"Black","Manchester","67"
"Black","Medway","72"
"Black","Merton","67"
"Black","Middlesbrough","66"
"Black","Milton Keynes","67"
"Black","Newcastle upon Tyne","57"
"Black","Newham","74"
"Black","Norfolk","62"
"Black","North East Lincolnshire","-"
"Black","North Lincolnshire","64"
"Black","North Somerset","43"
"Black","North Tyneside","-"
"Black","North Yorkshire","52"
"Black","Northamptonshire","68"
"Black","Northumberland","-"
"Black","Nottingham","68"
"Black","Nottinghamshire","69"
"Black","Oldham","67"
"Black","Oxfordshire","69"
"Black","Peterborough","59"
"Black","Plymouth","69"
"Black","Poole","-"
"Black","Portsmouth","64"
"Black","Reading","70"
"Black","Redbridge","66"
"Black","Redcar and Cleveland","-"
"Black","Richmond upon Thames","61"
"Black","Rochdale","58"
"Black","Rotherham","63"
"Black","Rutland","-"
"Black","Salford","68"
"Black","Sandwell","63"
"Black","Sefton","67"
"Black","Sheffield","73"
"Black","Shropshire","-"
"Black","Slough","73"
"Black","Solihull","65"
"Black","Somerset","59"
"Black","South Gloucestershire","80"
"Black","South Tyneside","57"
"Black","Southampton","67"
"Black","Southend-on-Sea","73"
"Black","Southwark","71"
"Black","St. Helens","-"
"Black","Staffordshire","71"
"Black","Stockport","62"
"Black","Stockton-on-Tees","59"
"Black","Stoke-on-Trent","66"
"Black","Suffolk","66"
"Black","Sunderland","71"
"Black","Surrey","65"
"Black","Sutton","69"
"Black","Swindon","72"
"Black","Tameside","57"
"Black","Telford and Wrekin","70"
"Black","Thurrock","72"
"Black","Torbay","-"
"Black","Tower Hamlets","64"
"Black","Trafford","62"
"Black","Wakefield","66"
"Black","Walsall","73"
"Black","Waltham Forest","71"
"Black","Wandsworth","69"
"Black","Warrington","68"
"Black","Warwickshire","68"
"Black","West Berkshire","64"
"Black","West Sussex","60"
"Black","Westminster","68"
"Black","Wigan","51"
"Black","Wiltshire","76"
"Black","Windsor and Maidenhead","65"
"Black","Wirral","70"
"Black","Wokingham","72"
"Black","Wolverhampton","65"
"Black","Worcestershire","65"
"Black","York","43"
"Chinese","All- England","76"
"Chinese","Barking and Dagenham","100"
"Chinese","Barnet","84"
"Chinese","Barnsley","-"
"Chinese","Bath and North East Somerset","-"
"Chinese","Bedford","44"
"Chinese","Bexley","77"
"Chinese","Birmingham","60"
"Chinese","Blackburn with Darwen","57"
"Chinese","Blackpool","-"
"Chinese","Bolton","61"
"Chinese","Bournemouth","-"
"Chinese","Bracknell Forest","100"
"Chinese","Bradford","-"
"Chinese","Brent","100"
"Chinese","Brighton and Hove","-"
"Chinese","Bristol, City of","71"
"Chinese","Bromley","89"
"Chinese","Buckinghamshire","69"
"Chinese","Bury","-"
"Chinese","Calderdale","73"
"Chinese","Cambridgeshire","75"
"Chinese","Camden","85"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","63"
"Chinese","Cheshire West and Chester","38"
"Chinese","City of London","."
"Chinese","Cornwall","60"
"Chinese","Coventry","71"
"Chinese","Croydon","71"
"Chinese","Cumbria","63"
"Chinese","Darlington","100"
"Chinese","Derby","79"
"Chinese","Derbyshire","68"
"Chinese","Devon","81"
"Chinese","Doncaster","62"
"Chinese","Dorset","50"
"Chinese","Dudley","73"
"Chinese","Durham","70"
"Chinese","Ealing","-"
"Chinese","East Riding of Yorkshire","-"
"Chinese","East Sussex","61"
"Chinese","Enfield","76"
"Chinese","Essex","73"
"Chinese","Gateshead","100"
"Chinese","Gloucestershire","-"
"Chinese","Greenwich","84"
"Chinese","Hackney","-"
"Chinese","Halton","."
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","83"
"Chinese","Haringey","77"
"Chinese","Harrow","74"
"Chinese","Hartlepool","-"
"Chinese","Havering","-"
"Chinese","Herefordshire","-"
"Chinese","Hertfordshire","85"
"Chinese","Hillingdon","100"
"Chinese","Hounslow","81"
"Chinese","Isle of Wight","-"
"Chinese","Isles of Scilly","."
"Chinese","Islington","-"
