"Free school meals","Ethnicity","Score","Pupils"
"Free school meals","All","38.6","88,666"
"Free school meals","Asian","47.1","10,443"
"Free school meals","Bangladeshi","50.0","2,707"
"Free school meals","Indian","51.9","1,143"
"Free school meals","Pakistani","44.7","5,162"
"Free school meals","Asian other","46.4","1,431"
"Free school meals","Black","43.7","8,265"
"Free school meals","Black African","45.8","5,153"
"Free school meals","Black Caribbean","39.0","2,039"
"Free school meals","Black other","42.2","1,073"
"Free school meals","Chinese","62.8","140"
"Free school meals","Mixed","40.5","6,321"
"Free school meals","Mixed White/Asian","42.2","1,062"
"Free school meals","Mixed White/Black African","43.4","832"
"Free school meals","Mixed White/Black Caribbean","37.0","2,244"
"Free school meals","Mixed other","42.2","2,183"
"Free school meals","White","35.8","59,303"
"Free school meals","White British","35.6","55,375"
"Free school meals","White Irish","38.3","223"
"Free school meals","Gypsy/Roma","21.1","497"
"Free school meals","Irish Traveller","25.1","89"
"Free school meals","White other","42.8","3,119"
"Free school meals","Other","44.8","2,783"
"Free school meals","Unknown","37.9","1,411"
"No free school meals","All","52.3","473,328"
"No free school meals","Asian","56.0","50,580"
"No free school meals","Bangladeshi","55.3","7,665"
"No free school meals","Indian","61.4","14,986"
"No free school meals","Pakistani","50.6","19,113"
"No free school meals","Asian other","59.1","8,816"
"No free school meals","Black","50.6","24,670"
"No free school meals","Black African","52.5","16,146"
"No free school meals","Black Caribbean","45.9","5,339"
"No free school meals","Black other","49.1","3,185"
"No free school meals","Chinese","68.0","1,819"
"No free school meals","Mixed","53.7","23,160"
"No free school meals","Mixed White/Asian","58.5","5,592"
"No free school meals","Mixed White/Black African","53.3","2,874"
"No free school meals","Mixed White/Black Caribbean","47.9","5,784"
"No free school meals","Mixed other","54.5","8,910"
"No free school meals","White","52.0","357,201"
"No free school meals","White British","52.1","327,646"
"No free school meals","White Irish","58.3","1,425"
"No free school meals","Gypsy/Roma","24.6","857"
"No free school meals","Irish Traveller","40.2","71"
"No free school meals","White other","51.6","27,202"
"No free school meals","Other","52.7","7,739"
"No free school meals","Unknown","42.0","8,159"
