"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Time","Unweighted_Sample_Time","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16","Notes"
"Average trip time to school in minutes of children aged 5 to 16","2007/11","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","64698","63402","1207233","1197897","9999","10449",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","77132","74769","1455597","1430165","11837","12242",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","6779","6357","120675","113789","942","958",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","25","Minutes per trip","3186","3358","78521","84587","464","509",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","20","Minutes per trip","2518","2404","50827","49143","407","412",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","23","Minutes per trip","1059","1075","24107","24312","173","188",""
"Average trip time to school in minutes of children aged 5 to 16","2008/12","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","63534","61528","1179837","1156979","9842","10167",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","76381","74016","1451168","1420045","11732","12114",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","6788","6435","122298","116064","952","966",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","25","Minutes per trip","3523","3693","87888","93366","494","540",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2587","2473","55457","53408","416","419",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","23","Minutes per trip","921","940","20899","20794","150","164",""
"Average trip time to school in minutes of children aged 5 to 16","2009/13","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","62507","60431","1163004","1135064","9714","10019",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","76116","73629","1442601","1411298","11600","11999",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","6450","6099","117599","112184","926","940",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","24","Minutes per trip","3822","4008","92441","98543","525","582",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2305","2188","49070","47078","393","399",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","22","Minutes per trip","934","938","20440","20715","150","166",""
"Average trip time to school in minutes of children aged 5 to 16","2010/14","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","62544","60348","1161397","1131439","9599","9906",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","75634","72436","1427643","1381247","11476","11761",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","6411","6023","116453","110861","946","957",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","24","Minutes per trip","3692","3808","86956","91437","513","569",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2433","2317","51676","48478","396","402",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","23","Minutes per trip","999","998","22917","23914","148","163",""
"Average trip time to school in minutes of children aged 5 to 16","2011/15","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","62053","59238","1148337","1105037","9467","9663",""
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","76738","74639","1444855","1412776","11498","11847",""
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","6932","6651","125097","121458","1027","1043",""
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","23","Minutes per trip","3461","3605","81053","85528","497","556",""
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2602","2499","54748","51684","394","401",""
