"","All staff","","","","Male staff","","","","Female staff","","",""
"Ethnicity","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)"
"All","£2,314","N/A","£2,514","N/A","£2,603","N/A","£2,648","N/A","£2,243","N/A","£2,480","N/A"
"Asian","£2,193","£0.94","£2,423","£0.95","£2,206","£0.81","£2,459","£0.90","£2,187","£0.97","£2,409","£0.96"
"Black","£2,121","£0.91","£2,352","£0.92","£2,050","£0.75","£2,324","£0.85","£2,141","£0.95","£2,361","£0.94"
"Mixed","£2,145","£0.92","£2,412","£0.95","£2,163","£0.80","£2,462","£0.90","£2,140","£0.95","£2,398","£0.96"
"White","£2,343","N/A","£2,544","N/A","£2,720","N/A","£2,721","N/A","£2,256","N/A","£2,503","N/A"
"Other","£2,220","£0.95","£2,450","£0.96","£2,199","£0.81","£2,443","£0.90","£2,229","£0.99","£2,452","£0.98"
"Unknown","£2,308","£0.99","£2,477","£0.97","£2,562","£0.94","£2,676","£0.98","£2,229","£0.99","£2,417","£0.97"
