"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4214","GBP","0.85","0.8"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4082","GBP","0.83","0.84"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4584","GBP","0.93","0.83"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4378","GBP","0.89","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Women","Medical","4930","GBP","N/A","0.84"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","All","Non-medical","2314","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","All","Non-medical","2193","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","All","Non-medical","2121","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","All","Non-medical","2145","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","All","Non-medical","2220","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","All","Non-medical","2308","GBP","0.99","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","All","Non-medical","2343","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Men","Non-medical","2603","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Men","Non-medical","2206","GBP","0.81","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Men","Non-medical","2050","GBP","0.75","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Men","Non-medical","2163","GBP","0.8","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Men","Non-medical","2199","GBP","0.81","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Men","Non-medical","2562","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Men","Non-medical","2720","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","All","ONS 2011 5+1","England","Country","Women","Non-medical","2243","GBP","N/A","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Asian","ONS 2011 5+1","England","Country","Women","Non-medical","2187","GBP","0.97","0.99"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Black","ONS 2011 5+1","England","Country","Women","Non-medical","2141","GBP","0.95","1.04"
