"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Men","Non-medical","2489","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Women","Non-medical","2278","GBP","N/A","0.94"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Women","Non-medical","2211","GBP","0.96","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Women","Non-medical","2161","GBP","0.94","1.03"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Women","Non-medical","2175","GBP","0.95","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Women","Non-medical","2251","GBP","0.98","1"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Women","Non-medical","2260","GBP","0.98","0.89"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Women","Non-medical","2296","GBP","N/A","0.92"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","All","All","2743","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","All","All","3166","GBP","1.18","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","All","All","2457","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","All","All","2763","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","All","All","3171","GBP","1.18","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","All","All","2684","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","All","All","2920","GBP","1.09","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Men","All","3317","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Men","All","3885","GBP","1.22","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Men","All","2701","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Men","All","3274","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Men","All","3842","GBP","1.2","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Men","All","3563","GBP","1.12","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Men","All","3194","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Women","All","2566","GBP","N/A","0.77"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Women","All","2768","GBP","1.09","0.71"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Women","All","2378","GBP","0.93","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Women","All","2563","GBP","1.01","0.78"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Women","All","2742","GBP","1.08","0.71"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Women","All","2654","GBP","1.04","0.74"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Women","All","2548","GBP","N/A","0.8"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","All","Medical","5586","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","All","Medical","5504","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","All","Medical","4822","GBP","0.82","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","All","Medical","4954","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","All","Medical","5417","GBP","0.93","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","All","Medical","5024","GBP","0.86","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","All","Medical","5847","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Men","Medical","5912","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Men","Medical","5844","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Men","Medical","5119","GBP","0.82","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Men","Medical","5150","GBP","0.83","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Men","Medical","5654","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Men","Medical","5295","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Men","Medical","6224","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Women","Medical","5187","GBP","N/A","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Women","Medical","4997","GBP","0.92","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4440","GBP","0.81","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4708","GBP","0.86","0.91"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4932","GBP","0.9","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4689","GBP","0.86","0.89"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Women","Medical","5454","GBP","N/A","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","All","Non-medical","2441","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","All","Non-medical","2354","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","All","Non-medical","2282","GBP","0.93","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","All","Non-medical","2333","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","All","Non-medical","2382","GBP","0.97","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","All","Non-medical","2453","GBP","0.99","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","All","Non-medical","2466","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Men","Non-medical","2569","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Men","Non-medical","2390","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Men","Non-medical","2246","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Men","Non-medical","2368","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Men","Non-medical","2371","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Men","Non-medical","2661","GBP","1.01","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Men","Non-medical","2631","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","All","ONS 2011 5+1","England","Country","Women","Non-medical","2409","GBP","N/A","0.94"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Asian","ONS 2011 5+1","England","Country","Women","Non-medical","2341","GBP","0.96","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Black","ONS 2011 5+1","England","Country","Women","Non-medical","2292","GBP","0.94","1.02"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Mixed","ONS 2011 5+1","England","Country","Women","Non-medical","2323","GBP","0.96","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Other","ONS 2011 5+1","England","Country","Women","Non-medical","2386","GBP","0.98","1.01"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","Unknown","ONS 2011 5+1","England","Country","Women","Non-medical","2389","GBP","0.98","0.9"
"NHS workforce mean monthly basic pay per full time equivalent","May-19","Month","White","ONS 2011 5+1","England","Country","Women","Non-medical","2428","GBP","N/A","0.92"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","All","All","2823","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","All","All","3224","GBP","1.16","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","All","All","2530","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","All","All","2860","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","All","All","3248","GBP","1.17","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","All","All","2950","GBP","1.07","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","All","All","2768","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Men","All","3406","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Men","All","3946","GBP","1.2","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Men","All","2768","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Men","All","3412","GBP","1.04","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Men","All","3929","GBP","1.19","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Men","All","3605","GBP","1.1","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Men","All","3291","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Men","Medical","5995","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Men","Medical","5957","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Men","Medical","5041","GBP","0.8","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Men","Medical","5228","GBP","0.83","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Men","Medical","5670","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Men","Medical","5392","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Men","Medical","6329","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","All","Medical","5674","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","All","Medical","5607","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","All","Medical","4784","GBP","0.8","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","All","Medical","5014","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","All","Medical","5408","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","All","Medical","5142","GBP","0.86","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","All","Medical","5956","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Men","Non-medical","2648","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Men","Non-medical","2459","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Men","Non-medical","2324","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Men","Non-medical","2462","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Men","Non-medical","2443","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Men","Non-medical","2676","GBP","0.98","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Men","Non-medical","2721","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Women","All","2644","GBP","N/A","0.78"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Women","All","2836","GBP","1.08","0.72"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Women","All","2452","GBP","0.93","0.89"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Women","All","2643","GBP","1.01","0.77"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Women","All","2816","GBP","1.07","0.72"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Women","All","2684","GBP","1.02","0.74"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Women","All","2630","GBP","N/A","0.8"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","All","Non-medical","2514","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","All","Non-medical","2423","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","All","Non-medical","2352","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","All","Non-medical","2412","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","All","Non-medical","2450","GBP","0.96","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","All","Non-medical","2477","GBP","0.97","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","All","Non-medical","2544","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Women","Medical","5291","GBP","N/A","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Women","Medical","5102","GBP","0.91","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4465","GBP","0.8","0.89"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4740","GBP","0.85","0.91"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4896","GBP","0.88","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4828","GBP","0.87","0.9"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Women","Medical","5580","GBP","N/A","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","All","ONS 2011 5+1","England","Country","Women","Non-medical","2480","GBP","N/A","0.94"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Asian","ONS 2011 5+1","England","Country","Women","Non-medical","2409","GBP","0.96","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Black","ONS 2011 5+1","England","Country","Women","Non-medical","2361","GBP","0.94","1.02"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Mixed","ONS 2011 5+1","England","Country","Women","Non-medical","2398","GBP","0.96","0.97"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Other","ONS 2011 5+1","England","Country","Women","Non-medical","2452","GBP","0.98","1"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","Unknown","ONS 2011 5+1","England","Country","Women","Non-medical","2417","GBP","0.97","0.9"
"NHS workforce mean monthly basic pay per full time equivalent","May-20","Month","White","ONS 2011 5+1","England","Country","Women","Non-medical","2503","GBP","N/A","0.92"
