"","All staff","","","","Male staff","","","","Female staff","","",""
"Ethnicity","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)"
"All","£5,238","N/A","£5,674","N/A","£5,638","N/A","£5,995","N/A","£4,738","N/A","£5,291","N/A"
"Asian","£5,130","£0.95","£5,607","£0.94","£5,498","£0.94","£5,957","£0.94","£4,551","£0.92","£5,102","£0.91"
"Black","£4,798","£0.89","£4,784","£0.80","£5,243","£0.89","£5,041","£0.80","£4,214","£0.85","£4,465","£0.80"
"Mixed","£4,490","£0.83","£5,014","£0.84","£4,844","£0.82","£5,228","£0.83","£4,082","£0.83","£4,740","£0.85"
"White","£5,421","N/A","£5,956","N/A","£5,876","N/A","£6,329","N/A","£4,930","N/A","£5,580","N/A"
"Other","£5,189","£0.96","£5,408","£0.91","£5,495","£0.94","£5,670","£0.90","£4,584","£0.93","£4,896","£0.88"
"Unknown","£4,822","£0.89","£5,142","£0.86","£5,168","£0.88","£5,392","£0.85","£4,378","£0.89","£4,828","£0.87"
